root@ebhq-gridcenter# df -h
Filesystem              Size  Used  Avail  Use%
/dev/grid/node-x7-y17    85T   64T    21T   75%
/dev/grid/node-x7-y18    88T   64T    24T   72%
/dev/grid/node-x7-y19    90T   67T    23T   74%
/dev/grid/node-x7-y20    94T   66T    28T   70%
/dev/grid/node-x7-y21    87T   67T    20T   77%
/dev/grid/node-x7-y22    88T   69T    19T   78%
/dev/grid/node-x7-y23    93T   69T    24T   74%
/dev/grid/node-x8-y0     85T   72T    13T   84%
/dev/grid/node-x8-y1     91T   72T    19T   79%
/dev/grid/node-x8-y2     86T   65T    21T   75%
/dev/grid/node-x8-y3     85T   69T    16T   81%
/dev/grid/node-x8-y4     93T   65T    28T   69%
/dev/grid/node-x8-y5     87T   72T    15T   82%
/dev/grid/node-x8-y6     93T   68T    25T   73%
/dev/grid/node-x8-y7     89T   73T    16T   82%
/dev/grid/node-x8-y8     85T   65T    20T   76%
/dev/grid/node-x8-y9     85T   73T    12T   85%
/dev/grid/node-x8-y10    89T   71T    18T   79%
/dev/grid/node-x8-y11    90T   68T    22T   75%
/dev/grid/node-x8-y12    85T   65T    20T   76%
/dev/grid/node-x8-y13    89T   71T    18T   79%
/dev/grid/node-x8-y14    92T   71T    21T   77%
/dev/grid/node-x8-y15    85T   73T    12T   85%
/dev/grid/node-x8-y16    87T   73T    14T   83%
/dev/grid/node-x8-y17    92T   66T    26T   71%
/dev/grid/node-x8-y18    87T   69T    18T   79%
/dev/grid/node-x8-y19    88T   64T    24T   72%
/dev/grid/node-x8-y20    88T   68T    20T   77%
/dev/grid/node-x8-y21    92T   66T    26T   71%
/dev/grid/node-x8-y22    85T   68T    17T   80%
/dev/grid/node-x8-y23    91T   66T    25T   72%
/dev/grid/node-x9-y0     90T   69T    21T   76%
/dev/grid/node-x9-y1     86T   73T    13T   84%
/dev/grid/node-x9-y2     92T   72T    20T   78%
/dev/grid/node-x9-y3     87T   68T    19T   78%
/dev/grid/node-x9-y4     90T   66T    24T   73%
/dev/grid/node-x9-y5     91T   64T    27T   70%
/dev/grid/node-x9-y6     91T   68T    23T   74%
/dev/grid/node-x9-y7     88T   66T    22T   75%
/dev/grid/node-x9-y8     85T   72T    13T   84%
/dev/grid/node-x9-y9     87T   68T    19T   78%
/dev/grid/node-x9-y10    89T   72T    17T   80%
/dev/grid/node-x9-y11    85T   66T    19T   77%
/dev/grid/node-x9-y12    87T   73T    14T   83%
/dev/grid/node-x9-y13    87T   66T    21T   75%
/dev/grid/node-x9-y14    92T   67T    25T   72%
/dev/grid/node-x9-y15    90T   67T    23T   74%
/dev/grid/node-x9-y16    85T   67T    18T   78%
/dev/grid/node-x9-y17    86T   70T    16T   81%
/dev/grid/node-x9-y18    86T   73T    13T   84%
/dev/grid/node-x9-y19    91T   72T    19T   79%
/dev/grid/node-x9-y20    93T   69T    24T   74%
/dev/grid/node-x9-y21    92T   72T    20T   78%
/dev/grid/node-x9-y22    88T   67T    21T   76%
/dev/grid/node-x9-y23    91T   64T    27T   70%
/dev/grid/node-x10-y0    89T   65T    24T   73%
/dev/grid/node-x10-y1    85T   70T    15T   82%
/dev/grid/node-x10-y2    87T   65T    22T   74%
/dev/grid/node-x10-y3    86T   73T    13T   84%
/dev/grid/node-x10-y4    85T   73T    12T   85%
/dev/grid/node-x10-y5    94T   65T    29T   69%
/dev/grid/node-x10-y6    91T   71T    20T   78%
/dev/grid/node-x10-y7    92T   65T    27T   70%
/dev/grid/node-x10-y8    92T   70T    22T   76%
/dev/grid/node-x10-y9    93T   66T    27T   70%
/dev/grid/node-x10-y10   86T   70T    16T   81%
/dev/grid/node-x10-y11   86T   73T    13T   84%
/dev/grid/node-x10-y12   93T   71T    22T   76%
/dev/grid/node-x10-y13   87T   72T    15T   82%
/dev/grid/node-x10-y14   93T   70T    23T   75%
/dev/grid/node-x10-y15   92T   66T    26T   71%
/dev/grid/node-x10-y16   85T   66T    19T   77%
/dev/grid/node-x10-y17   94T   71T    23T   75%
/dev/grid/node-x10-y18   88T   72T    16T   81%
/dev/grid/node-x10-y19   86T   71T    15T   82%
/dev/grid/node-x10-y20   90T   64T    26T   71%
/dev/grid/node-x10-y21   93T   72T    21T   77%
/dev/grid/node-x10-y22   86T   66T    20T   76%
/dev/grid/node-x10-y23   91T   73T    18T   80%
/dev/grid/node-x11-y0    91T   69T    22T   75%
/dev/grid/node-x11-y1    87T   68T    19T   78%
/dev/grid/node-x11-y2    93T   70T    23T   75%
/dev/grid/node-x11-y3    88T   65T    23T   73%
/dev/grid/node-x11-y4    86T   67T    19T   77%
/dev/grid/node-x11-y5    90T   67T    23T   74%
/dev/grid/node-x11-y6    94T   70T    24T   74%
/dev/grid/node-x11-y7    85T   68T    17T   80%
/dev/grid/node-x11-y8    88T   66T    22T   75%
/dev/grid/node-x11-y9    92T   67T    25T   72%
/dev/grid/node-x11-y10   90T   72T    18T   80%
/dev/grid/node-x11-y11   85T   73T    12T   85%
/dev/grid/node-x11-y12   88T   73T    15T   82%
/dev/grid/node-x11-y13   90T   69T    21T   76%
/dev/grid/node-x11-y14   86T   68T    18T   79%
/dev/grid/node-x11-y15   87T   71T    16T   81%
/dev/grid/node-x11-y16   91T   64T    27T   70%
/dev/grid/node-x11-y17   87T   67T    20T   77%
/dev/grid/node-x11-y18   88T   70T    18T   79%
/dev/grid/node-x11-y19   88T   71T    17T   80%
/dev/grid/node-x11-y20   91T   68T    23T   74%
/dev/grid/node-x11-y21   86T   71T    15T   82%
/dev/grid/node-x11-y22   87T   69T    18T   79%
/dev/grid/node-x11-y23   93T   68T    25T   73%
/dev/grid/node-x12-y0    90T   67T    23T   74%
/dev/grid/node-x12-y1    93T   66T    27T   70%
/dev/grid/node-x12-y2    85T   70T    15T   82%
/dev/grid/node-x12-y3    91T   64T    27T   70%
/dev/grid/node-x12-y4    85T   69T    16T   81%
/dev/grid/node-x12-y5    87T   66T    21T   75%
/dev/grid/node-x12-y6    86T   67T    19T   77%
/dev/grid/node-x12-y7    87T   66T    21T   75%
/dev/grid/node-x12-y8    86T   65T    21T   75%
/dev/grid/node-x12-y9    92T   66T    26T   71%
/dev/grid/node-x12-y10   90T   68T    22T   75%
/dev/grid/node-x12-y11   94T   72T    22T   76%
/dev/grid/node-x12-y12   88T   66T    22T   75%
/dev/grid/node-x12-y13   91T   71T    20T   78%
/dev/grid/node-x12-y14   88T   68T    20T   77%
/dev/grid/node-x12-y15   94T   68T    26T   72%
/dev/grid/node-x12-y16   85T   70T    15T   82%
/dev/grid/node-x12-y17   93T   72T    21T   77%
/dev/grid/node-x12-y18   94T   64T    30T   68%
/dev/grid/node-x12-y19   88T   65T    23T   73%
/dev/grid/node-x12-y20   89T   67T    22T   75%
/dev/grid/node-x12-y21   89T   65T    24T   73%
/dev/grid/node-x12-y22   85T   65T    20T   76%
/dev/grid/node-x12-y23   88T   65T    23T   73%
/dev/grid/node-x13-y0    90T   72T    18T   80%
/dev/grid/node-x13-y1    88T   65T    23T   73%
/dev/grid/node-x13-y2    89T   71T    18T   79%
/dev/grid/node-x13-y3    90T   66T    24T   73%
/dev/grid/node-x13-y4    94T   65T    29T   69%
/dev/grid/node-x13-y5    88T   65T    23T   73%
/dev/grid/node-x13-y6    86T   72T    14T   83%
/dev/grid/node-x13-y7    85T   72T    13T   84%
/dev/grid/node-x13-y8    90T   71T    19T   78%
/dev/grid/node-x13-y9    89T   67T    22T   75%
/dev/grid/node-x13-y10   88T   67T    21T   76%
/dev/grid/node-x13-y11   87T   70T    17T   80%
/dev/grid/node-x13-y12   90T   68T    22T   75%
/dev/grid/node-x13-y13   92T   67T    25T   72%
/dev/grid/node-x13-y14   89T   65T    24T   73%
/dev/grid/node-x13-y15   87T   70T    17T   80%
/dev/grid/node-x13-y16   93T   65T    28T   69%
/dev/grid/node-x13-y17   88T   64T    24T   72%
/dev/grid/node-x13-y18   86T   67T    19T   77%
/dev/grid/node-x13-y19   90T   70T    20T   77%
/dev/grid/node-x13-y20   92T   67T    25T   72%
/dev/grid/node-x13-y21   90T   71T    19T   78%
/dev/grid/node-x13-y22   86T   71T    15T   82%
/dev/grid/node-x13-y23   87T   69T    18T   79%
/dev/grid/node-x14-y0    94T   64T    30T   68%
/dev/grid/node-x14-y1    88T   68T    20T   77%
/dev/grid/node-x14-y2    91T   70T    21T   76%
/dev/grid/node-x14-y3    87T   69T    18T   79%
/dev/grid/node-x14-y4    92T   65T    27T   70%
/dev/grid/node-x14-y5    90T   67T    23T   74%
/dev/grid/node-x14-y6    89T   65T    24T   73%
/dev/grid/node-x14-y7    92T   73T    19T   79%
/dev/grid/node-x14-y8    86T   66T    20T   76%
/dev/grid/node-x14-y9    93T   68T    25T   73%
/dev/grid/node-x14-y10   88T   70T    18T   79%
/dev/grid/node-x14-y11   93T   67T    26T   72%
/dev/grid/node-x14-y12   85T   70T    15T   82%
/dev/grid/node-x14-y13   88T   64T    24T   72%
/dev/grid/node-x14-y14   88T   70T    18T   79%
/dev/grid/node-x14-y15   90T   70T    20T   77%
/dev/grid/node-x14-y16   91T   65T    26T   71%
/dev/grid/node-x14-y17   89T   64T    25T   71%
/dev/grid/node-x14-y18   85T   73T    12T   85%
/dev/grid/node-x14-y19   94T   64T    30T   68%
/dev/grid/node-x14-y20   89T   73T    16T   82%
/dev/grid/node-x14-y21   91T   73T    18T   80%
/dev/grid/node-x14-y22   94T   72T    22T   76%
/dev/grid/node-x14-y23   90T   68T    22T   75%
/dev/grid/node-x15-y0    91T   71T    20T   78%
/dev/grid/node-x15-y1    90T   68T    22T   75%
/dev/grid/node-x15-y2    90T   65T    25T   72%
/dev/grid/node-x15-y3    90T   68T    22T   75%
/dev/grid/node-x15-y4    90T   73T    17T   81%
/dev/grid/node-x15-y5    88T   73T    15T   82%
/dev/grid/node-x15-y6    88T   66T    22T   75%
/dev/grid/node-x15-y7    94T   69T    25T   73%
/dev/grid/node-x15-y8    94T   64T    30T   68%
/dev/grid/node-x15-y9    93T   65T    28T   69%
/dev/grid/node-x15-y10   94T   72T    22T   76%
/dev/grid/node-x15-y11   85T   71T    14T   83%
/dev/grid/node-x15-y12   93T   67T    26T   72%
/dev/grid/node-x15-y13   85T   69T    16T   81%
/dev/grid/node-x15-y14   85T   64T    21T   75%
/dev/grid/node-x15-y15   88T   65T    23T   73%
/dev/grid/node-x15-y16   93T   69T    24T   74%
/dev/grid/node-x15-y17   85T   64T    21T   75%
/dev/grid/node-x15-y18   89T   72T    17T   80%
/dev/grid/node-x15-y19   89T   66T    23T   74%
/dev/grid/node-x15-y20   91T   66T    25T   72%
/dev/grid/node-x15-y21   90T   71T    19T   78%
/dev/grid/node-x15-y22   94T   66T    28T   70%
/dev/grid/node-x15-y23   91T   69T    22T   75%
/dev/grid/node-x16-y0    94T   64T    30T   68%
/dev/grid/node-x16-y1    89T   73T    16T   82%
/dev/grid/node-x16-y2    91T   69T    22T   75%
/dev/grid/node-x16-y3    94T   71T    23T   75%
/dev/grid/node-x16-y4    88T   70T    18T   79%
/dev/grid/node-x16-y5    92T   69T    23T   75%
/dev/grid/node-x16-y6    93T   67T    26T   72%
/dev/grid/node-x16-y7    90T   65T    25T   72%
/dev/grid/node-x16-y8    86T   69T    17T   80%
/dev/grid/node-x16-y9    87T   71T    16T   81%
/dev/grid/node-x16-y10   86T   65T    21T   75%
/dev/grid/node-x16-y11   86T   65T    21T   75%
/dev/grid/node-x16-y12   85T   73T    12T   85%
/dev/grid/node-x16-y13   88T   68T    20T   77%
/dev/grid/node-x16-y14   88T   66T    22T   75%
/dev/grid/node-x16-y15   93T   66T    27T   70%
/dev/grid/node-x16-y16   93T   64T    29T   68%
/dev/grid/node-x16-y17   89T   72T    17T   80%
/dev/grid/node-x16-y18   91T   65T    26T   71%
/dev/grid/node-x16-y19   93T   67T    26T   72%
/dev/grid/node-x16-y20   90T   69T    21T   76%
/dev/grid/node-x16-y21   87T   68T    19T   78%
/dev/grid/node-x16-y22   89T   71T    18T   79%
/dev/grid/node-x16-y23   91T   67T    24T   73%
/dev/grid/node-x17-y0    87T   64T    23T   73%
/dev/grid/node-x17-y1    85T   69T    16T   81%
/dev/grid/node-x17-y2    94T   72T    22T   76%
/dev/grid/node-x17-y3    87T   67T    20T   77%
/dev/grid/node-x17-y4    88T   69T    19T   78%
/dev/grid/node-x17-y5    87T   71T    16T   81%
/dev/grid/node-x17-y6    87T   70T    17T   80%
/dev/grid/node-x17-y7    86T   73T    13T   84%
/dev/grid/node-x17-y8    92T   64T    28T   69%
/dev/grid/node-x17-y9    85T   64T    21T   75%
/dev/grid/node-x17-y10   89T   65T    24T   73%
/dev/grid/node-x17-y11   93T   69T    24T   74%
/dev/grid/node-x17-y12   85T   67T    18T   78%
/dev/grid/node-x17-y13   94T   66T    28T   70%
/dev/grid/node-x17-y14   87T   70T    17T   80%
/dev/grid/node-x17-y15   88T   73T    15T   82%
/dev/grid/node-x17-y16   90T   68T    22T   75%
/dev/grid/node-x17-y17   86T   71T    15T   82%
/dev/grid/node-x17-y18   91T   72T    19T   79%
/dev/grid/node-x17-y19   92T   71T    21T   77%
/dev/grid/node-x17-y20   92T   68T    24T   73%
/dev/grid/node-x17-y21   89T   67T    22T   75%
/dev/grid/node-x17-y22   89T   67T    22T   75%
/dev/grid/node-x17-y23   93T   65T    28T   69%
/dev/grid/node-x18-y0    87T   70T    17T   80%
/dev/grid/node-x18-y1    85T   65T    20T   76%
/dev/grid/node-x18-y2    93T   67T    26T   72%
/dev/grid/node-x18-y3    92T   65T    27T   70%
/dev/grid/node-x18-y4    87T   72T    15T   82%
/dev/grid/node-x18-y5    94T   65T    29T   69%
/dev/grid/node-x18-y6    92T   67T    25T   72%
/dev/grid/node-x18-y7    90T   65T    25T   72%
/dev/grid/node-x18-y8    88T   65T    23T   73%
/dev/grid/node-x18-y9    87T   70T    17T   80%
/dev/grid/node-x18-y10   88T   64T    24T   72%
/dev/grid/node-x18-y11   87T   65T    22T   74%
/dev/grid/node-x18-y12   88T   66T    22T   75%
/dev/grid/node-x18-y13   93T   72T    21T   77%
/dev/grid/node-x18-y14   90T   65T    25T   72%
/dev/grid/node-x18-y15   89T   66T    23T   74%
/dev/grid/node-x18-y16   86T   65T    21T   75%
/dev/grid/node-x18-y17   85T   66T    19T   77%
/dev/grid/node-x18-y18   91T   69T    22T   75%
/dev/grid/node-x18-y19   88T   64T    24T   72%
/dev/grid/node-x18-y20   87T   66T    21T   75%
/dev/grid/node-x18-y21   87T   69T    18T   79%
/dev/grid/node-x18-y22   89T   69T    20T   77%
/dev/grid/node-x18-y23   87T   71T    16T   81%
/dev/grid/node-x19-y0    89T   72T    17T   80%
/dev/grid/node-x19-y1    91T   70T    21T   76%
/dev/grid/node-x19-y2    87T   64T    23T   73%
/dev/grid/node-x19-y3    88T   70T    18T   79%
/dev/grid/node-x19-y4    91T   64T    27T   70%
/dev/grid/node-x19-y5    90T   64T    26T   71%
/dev/grid/node-x19-y6    91T   65T    26T   71%
/dev/grid/node-x19-y7    89T   73T    16T   82%
/dev/grid/node-x19-y8    87T   65T    22T   74%
/dev/grid/node-x19-y9    90T   66T    24T   73%
/dev/grid/node-x19-y10   93T   68T    25T   73%
/dev/grid/node-x19-y11   87T   69T    18T   79%
/dev/grid/node-x19-y12   92T   66T    26T   71%
/dev/grid/node-x19-y13   94T   71T    23T   75%
/dev/grid/node-x19-y14   86T   64T    22T   74%
/dev/grid/node-x19-y15   89T   68T    21T   76%
/dev/grid/node-x19-y16   94T   69T    25T   73%
/dev/grid/node-x19-y17   85T   72T    13T   84%
/dev/grid/node-x19-y18   93T   70T    23T   75%
/dev/grid/node-x19-y19   85T   67T    18T   78%
/dev/grid/node-x19-y20   92T   64T    28T   69%
/dev/grid/node-x19-y21   93T   68T    25T   73%
/dev/grid/node-x19-y22   94T   66T    28T   70%
/dev/grid/node-x19-y23   87T   70T    17T   80%
/dev/grid/node-x20-y0    91T   65T    26T   71%
/dev/grid/node-x20-y1    85T   72T    13T   84%
/dev/grid/node-x20-y2    94T   64T    30T   68%
/dev/grid/node-x20-y3    89T   65T    24T   73%
/dev/grid/node-x20-y4    88T   69T    19T   78%
/dev/grid/node-x20-y5    94T   71T    23T   75%
/dev/grid/node-x20-y6    87T   69T    18T   79%
/dev/grid/node-x20-y7    94T   67T    27T   71%
/dev/grid/node-x20-y8    89T   65T    24T   73%
/dev/grid/node-x20-y9    88T   65T    23T   73%
/dev/grid/node-x20-y10   94T   73T    21T   77%
/dev/grid/node-x20-y11   87T   66T    21T   75%
/dev/grid/node-x20-y12   92T   66T    26T   71%
/dev/grid/node-x20-y13   86T   71T    15T   82%
/dev/grid/node-x20-y14   93T   64T    29T   68%
/dev/grid/node-x20-y15   91T   65T    26T   71%
/dev/grid/node-x20-y16   89T   65T    24T   73%
/dev/grid/node-x20-y17   90T   68T    22T   75%
/dev/grid/node-x20-y18   90T   73T    17T   81%
/dev/grid/node-x20-y19   85T   73T    12T   85%
/dev/grid/node-x20-y20   85T   67T    18T   78%
/dev/grid/node-x20-y21   94T   65T    29T   69%
/dev/grid/node-x20-y22   86T   69T    17T   80%
/dev/grid/node-x20-y23   93T   73T    20T   78%
/dev/grid/node-x21-y0    92T   73T    19T   79%
/dev/grid/node-x21-y1    94T   72T    22T   76%
/dev/grid/node-x21-y2    92T   69T    23T   75%
/dev/grid/node-x21-y3    86T   68T    18T   79%
/dev/grid/node-x21-y4    87T   69T    18T   79%
/dev/grid/node-x21-y5    87T   67T    20T   77%
/dev/grid/node-x21-y6    87T   70T    17T   80%
/dev/grid/node-x21-y7    87T   73T    14T   83%
/dev/grid/node-x21-y8    91T   71T    20T   78%
/dev/grid/node-x21-y9    85T   68T    17T   80%
/dev/grid/node-x21-y10   85T   70T    15T   82%
