3-gram	*/*	3/*	4/*	5/*	6/*	7/*	8/*	9/*	3/1:3	4/1:3	4/2:4	5/1:3	5/2:4	5/3:5	6/1:3	6/2:4	6/3:5	6/4:6	7/1:3	7/2:4	7/3:5	7/4:6	7/5:7	8/1:3	8/2:4	8/3:5	8/4:6	8/5:7	8/6:8	9/1:3	9/2:4	9/3:5	9/4:6	9/5:7	9/6:8	9/7:9	*/1:3	*/2:4	*/3:5	*/4:6	*/5:7	*/6:8	*/7:9	*/8:10	*/9:11	*/-9:-7	*/-8:-6	*/-7:-5	*/-6:-4	*/-5:-3	*/-4:-2	*/-3:-1
ARE	6050931663	3700433333	473949070	365508471	367472016	359356215	478462920	119568540	3700433333	210505549	263443521	144075155	54525454	166907862	3602943	138467100	156453813	68948160	845317	146928564	26329417	43244241	142008676	734528	31876343	4278616	56398842	325898857	59275734	357420	66509648	31817347	9421629	3044015	672810	7745671	4060992854	727500707	401736250	238090883	476414547	60483379	33331269	26194180	24338391	19885572	70122765	125492188	176063771	379945806	818061324	4439093070
ESS	5961685248	965238	362926592	323025933	383024922	978221427	1001034760	1176990283	965238	3958711	358967881	34004595	9623799	279397539	22864361	91259982	3488399	265412180	23610873	167936244	82451153	2572320	701650837	2251388	40969517	166522532	55174825	4102302	732014196	74658902	22959209	29304726	322413631	463732241	1019995	262901579	202751790	699907252	568331776	790120365	1934867553	951913125	305128967	158798967	98026806	108911140	226417791	262912186	1361049095	832077978	24974741	3083434957
NOT	5871622477	4522732626	152498427	167449671	131532189	763474250	42211202	29568305	4522732626	147265980	5232447	161331282	4738252	1380137	122469457	621588	7683069	758075	303808058	446004571	10953542	1929698	778381	22881665	235591	8349820	4383677	5256830	1103619	12147494	326834	8544862	3789692	2851818	1269247	638358	5336001757	457159283	46532255	19199507	9352281	2600501	776893	0	0	16683875	31355920	315510953	580752075	180253236	168143076	4532623643
IVE	5738676234	717773	617097267	905203823	350171737	392773377	682218885	865449110	717773	1895252	615202015	0	805736451	99467372	0	51209500	89957411	209004826	515364	21107180	13093171	190437928	167619734	0	9884514	36290230	44103968	232282478	359657695	0	53802770	51549150	34757638	6989450	85153356	633196746	3128389	1579868848	601975845	499356103	416790680	538288622	822781620	474367361	475653014	23207285	338030567	128109807	92276463	407536366	1589057145	3118563258
WAS	5723542738	5502713968	19227187	37274223	31818612	18196662	5844749	3057365	5502713968	17246514	1980673	36081662	647407	545154	31175471	0	0	643141	17652851	136833	0	237960	169018	4052752	466760	945050	0	247078	133109	2034241	100065	105689	0	0	651689	165681	5713507642	3668851	1595893	881101	1428125	2295445	165681	0	0	2034241	4152817	19181778	33823552	36081662	19030648	5506350744
ECT	5633214660	1138744	11480782	23469886	773274138	1330763813	947946418	1044650576	1138744	179877	11300905	0	5709919	17759967	102707	81438691	1785649	689947091	1289744	245024445	71150690	333885455	679413479	718096	78109477	166337131	492878592	172758970	37144152	269782	20596821	73056948	564647013	324902307	13745222	47432483	4012024	456709895	485146537	2349928817	1885942281	176907176	238754299	23665094	5020025	84783777	240902182	449155993	1707195549	1028538242	538152420	1492495032
REA	5614636634	1344635	574388701	1077400788	849460244	1268605672	760100010	623959542	1344635	360026371	214362330	184587267	872843021	19970500	399162999	254305479	190958119	5033647	502553973	427667748	257878431	79236922	1268598	184556616	339057600	21000117	182241951	31902232	1341494	103922742	261681525	37900238	211777244	3400883	5176377	100533	1859223365	2417247243	604751043	633359789	49019624	9362764	34474537	4980910	739000	205146811	482921986	996617775	1065841801	885333030	1576487586	243531654
COM	5512716986	13673878	356811173	122234561	763922187	735425668	724707105	880607335	13673878	356811173	0	121423369	222200	588992	395425011	0	367629501	867675	570928144	0	109763471	53289093	1444960	602985705	0	65037481	28766740	27157847	759332	841760407	102545	28379373	5614212	1821373	2929425	0	4457415675	324745	875930367	109747291	47330157	20313137	502180	0	462166	947930421	654209881	611465452	480717633	261774953	809192673	17334837
EVE	5367611215	13478014	886589393	1183629185	328247499	1360578400	526321219	273609153	13478014	885431405	1157988	463734327	707335516	12559342	103784719	173489076	44280635	6693069	73149373	470484072	72132857	558732746	186079352	85610946	134603615	18466323	563759	281918461	5158115	25885821	169111111	36394486	203531	28025945	12901171	1087088	1832089158	2154793208	224696591	575993546	539717088	18604637	19448907	1742819	159063	114421961	314492364	273175457	595087399	739502371	2504643449	226754186
PER	5340402298	300402417	18203024	291382537	860156488	790978740	602103211	633742099	300402417	17756872	446152	28297245	24412034	238673258	525285279	4059123	100666816	230145270	638633855	30221636	62758366	22117789	37247094	237778576	56550464	87298792	194343323	18856234	7275822	317757120	170446008	47503015	40200343	16727749	1705382	39402482	2734386903	375202147	1213406207	770243676	118215431	34043186	77179833	10607145	6397057	646291542	878478254	831583944	720048589	309909598	223385973	863055325
INT	5272125236	12988033	1167030656	542249341	292573785	255655547	675433418	614856642	12988033	1145602157	21428499	28018611	22611711	491619019	53692160	69330796	162544571	7006258	48152321	8520861	177207490	4579146	17195729	503136111	5949984	149492164	4899958	4478670	7476531	422657900	2468865	30870714	31543947	70169766	18197971	38947479	3559090225	133403480	1133806439	77571892	131832860	76102915	67509771	88844410	2434079	498406995	568588963	141482771	260581493	376993431	1418093836	623014847
EST	5093021295	23115852	684415297	148218090	428104034	739624653	1039056602	841402296	23115852	4574969	679840328	5090521	80592004	62535565	71078931	66909170	24363984	265751949	22580398	245166006	17107694	91097602	363672953	48026737	106173477	239868266	150547715	74046551	420393856	123015540	168935580	125842371	119478852	143477433	97478399	63174121	516562722	1603185437	529261454	877818502	741540953	725023880	78874267	8113048	5782830	271701521	313231211	402638239	851588329	485923751	374300821	1885509467
STA	5003705570	2264766	108566617	1021410079	865112199	463679639	683101483	568206289	2264766	106525417	2041200	1005382870	1158654	14868555	789609677	50946764	20464043	4091715	280586920	15863931	122281432	38583016	6364340	309441716	2263729	246065643	103015029	20849698	1465668	246341106	47813628	145447763	69466628	51417765	6712937	1006462	2930984458	316162517	641929580	398147826	252428860	291782438	130230695	33072897	8409700	301023017	616518951	604301867	1306119468	1478229818	208015614	33425099
CTI	4965296625	192164	138602	3050722	372341605	344726066	716901059	944863508	192164	0	138602	102574	2033156	914992	0	335567782	36161226	612597	0	63873280	280092475	637531	122780	0	148506979	60547345	501155779	6690956	0	0	16349595	16200423	285988916	612513643	13810931	0	294738	695761694	424605636	937982240	846855512	1072313677	570950010	344183964	31893207	176290964	115166151	392333585	847469264	3332987105	64135073	2292572
ICA	4851083411	825265	7618374	10517085	89224547	613070857	913644340	862017657	825265	1064010	6554364	0	7895916	2621169	580142	3446945	2765500	82431960	295243	6236984	58920676	392047876	155570078	0	1575827	3066390	117873383	782729107	8399633	0	6851223	796388	184193519	110978555	555826420	3371552	2764660	37821625	69059536	878805432	1454350246	760900660	874999790	345518381	176467813	8575864	230309864	625026034	709663132	457711202	2546979010	266918351
IST	4696789776	10267184	121147342	125315488	378117688	585469574	833347228	750985139	10267184	1022962	120124380	245864	31344346	93725278	531360	133226941	48556058	195803329	2669544	383082070	64132647	47860124	87725189	3103540	332896333	100888136	253171640	77733477	65554102	0	131388467	115354993	236202848	83386960	46530190	138121681	17840454	1666195293	462360904	1048547768	468101539	361789060	265442564	120590369	66296048	406778136	221604683	744162950	922944305	703808487	430781045	856539916
EAR	4565761282	29307453	941887389	1604397297	466052662	667932119	531135041	97470510	29307453	59824295	882063094	390094461	1035584327	178718509	19194894	290311879	10866780	145679109	136720887	250646061	121273194	110969338	48322639	46655266	151801968	20306260	305213994	499325	6658228	8167846	30887333	12361982	21889194	100855	4366832	19696468	705618706	2652675639	347294204	700047650	52157037	15736021	63212638	24225538	3043146	14532088	110590700	396447794	322949686	1129039677	1252539913	1316067228
AIN	4507928531	1296072	331864955	729191192	416660489	1220435466	733236108	545589653	1296072	652057	331212898	1575932	121615514	605999746	0	108211516	73215334	235233639	219711	83542300	472972092	121034271	542667092	0	117964292	129056892	244471491	110263511	131479922	724396	33992523	30266429	100014601	248653007	88202500	43736197	4468168	914109634	1322168542	716744954	1046637516	339670240	150809348	4492259	8068137	59401021	60314450	197646575	470527508	1218750642	529735638	1899892440
ONE	4425109105	2148983086	567189405	533484423	175876158	169455742	196174495	329542998	2148983086	68802924	498386481	823031	283613909	249047483	1105308	36216109	55762378	82792363	13257964	9193610	10787460	45078506	91138202	1196355	27178422	10440636	17694604	66074923	73589555	221157	4134370	8281159	30133758	74938182	138124935	73709437	2234711520	882409384	339973488	188773111	289493929	223962958	140983556	33311997	73699135	7811194	18088224	56857177	105592562	182538588	783878448	3247897839
OUR	4406006814	874965041	1165387939	408144942	724213386	405200879	240467961	322821347	874965041	13194935	1152193004	114392	391828460	16202090	137312	521726056	1669471	200680547	253959	323432772	2685460	37919022	40909666	0	132743500	6287780	71523789	28771726	1141166	46441342	33829737	236166	148011445	37656881	1527939	55117837	935106981	2620739325	37290467	545923812	135046286	7443737	120719692	1926376	1024630	95060884	59501926	214613829	503243329	657723003	495582947	2343621095
ITI	4405426644	610382	1384481	4597640	89320735	535304609	830100911	890522133	610382	255837	1128644	292717	941388	3363535	0	71218656	16011406	2090673	0	25097069	490191337	19473051	543152	0	56004597	139106511	626091704	7671515	1226584	2952071	5104307	86524562	365119551	407216921	23482534	122187	4618992	182587195	802359051	1203802368	793962559	653551876	478755511	102529815	124840359	60902204	127903095	436624061	847495522	2803069267	103433258	9193282
RAT	4343095846	14908175	205239877	161813078	332419568	102744830	395278431	599933602	14908175	203345249	1894628	141745004	16008536	4059538	302118353	13735169	14695578	1870468	14711633	15802007	22640104	46199444	3391642	35808051	18718817	84070605	80625749	169781916	6273293	10243679	18249608	35681819	254450517	151313841	129762438	231700	749521827	105416391	224548520	494718973	814907950	912653764	339207787	502880480	188252822	31825618	155817425	385370354	2122740303	818024954	736170689	35282682
NTE	4326059573	112769	5946385	101402351	359194682	618111955	760931328	730275396	112769	0	5946385	0	85163494	16238857	0	46107861	306904964	6181857	0	114679742	208436844	288449921	6545448	0	523005433	128837143	28884099	76380855	3823798	0	365601812	50799728	6276065	26593898	279044453	1959440	112769	2336447148	844730000	431459486	162891199	344926740	75595412	90586715	31493271	253665767	469890867	607392257	286980247	349599918	1208651037	43216261
TIN	4314722175	14157809	29543053	63027012	208603920	878916394	895992495	736492672	14157809	29543053	0	4528542	5000547	53497923	7803525	1840343	141606355	57353697	2449703	648520	21059079	846336958	8422134	4307634	2481301	2844313	254673795	610166790	21518662	1245468	2952071	1453167	222832356	20945654	482932508	4131448	64420854	13556938	238105907	1746320047	652007586	542227509	497153258	305399671	155242569	41590971	166441347	145270209	265140193	329760632	3121903405	162967751
INE	4289473708	938885	502181793	289813247	432451204	663369493	1075320233	596739265	938885	1167550	501014243	4610932	208482169	76720146	0	83656597	123042366	225752241	5598745	39651882	90525513	212355157	315238196	2364765	36723022	5844792	279321932	518315596	232750126	3971209	9018618	11344221	21266259	155898948	192080547	203159463	113758662	923414579	310675168	822406592	1034309609	455098494	430672196	133785561	31470065	50986451	67923852	111786653	88581675	662020218	1534023804	1670344205
DER	4270017146	76206810	5775566	1065972700	630474666	523483047	420204018	393934545	76206810	1377883	4397683	7316659	0	1058656041	15130401	0	206862737	408481528	64819229	0	183561680	182618691	92483447	9397529	0	73195654	85489308	39279502	212842025	1365255	0	74378440	102651452	7806013	99941587	107791798	206974792	4397683	2078251289	872284237	156525077	746004759	148481811	19597210	36036901	83230607	372027468	342226403	257059321	463975094	578166288	1982957627
OME	4215212970	504124	1845996484	459750586	547906553	305786441	333976441	524764267	504124	2215322	1843781162	2815268	454100548	2834770	485437	156628094	11895513	378897509	796318	123361002	1766741	124032891	55829489	277325	191854659	13435141	1554113	57614100	69241103	0	427927797	10483721	7103489	60652315	8277638	10319307	7223284	3221807491	55797720	525812913	221756486	101311800	40336439	28694564	11024463	15676237	441422541	225897678	196597432	236803323	687454181	2384918014
MAN	4170329466	609019192	748889509	548454461	518781854	538988358	339911707	251174901	609019192	746742020	2147489	25355034	605463	522493964	197501942	2794265	130333546	188152101	154959043	2415736	68881140	195711020	117021419	99263647	1928834	102274900	27918126	23566636	84959564	39161885	3309648	26423179	90125622	5333578	12081531	74739458	2234939882	24458596	872121453	551766861	155340402	106761177	197281318	15715659	9075646	50589356	127768161	222154998	408414980	240409930	1113586659	1623875693
PRE	4165466522	44727369	16284224	215964520	134877367	685964745	626761010	824169380	44727369	16284224	0	213144484	2189977	630059	79298700	53861029	726535	991103	564408427	4415118	116235192	517245	388763	615941349	872754	1223222	8723685	0	0	598995685	11912447	199405451	120687	572023	13163087	0	2821774724	76188832	968172213	111790587	9302917	167557966	4107826	2540866	2642731	800133160	959163766	812554704	113543632	414533607	33568717	46737294
ROM	4120910706	7794846	3525835845	69816292	43448501	92923230	150898239	96917538	7794846	53940398	3471895447	64434538	4384228	997526	23026503	10759151	8987317	675530	20391318	69279096	1787622	1182251	282943	25042668	95211723	6037014	488705	23358290	759839	2573456	77964242	5971520	2305053	3077859	669378	4356030	203236654	3759619707	56599586	13637396	52595143	17475827	14690506	1879383	829217	27847138	125083305	139220214	120250899	81782472	96536198	3486762161
TRA	4103386993	1465415	19936258	399322516	241966230	490845996	666871865	466209613	1465415	19184868	751390	334555029	15864391	48903096	165301348	53310696	14148511	9205675	169468003	80038320	45617945	181794467	13927261	224004405	129686474	60442653	241093872	10830696	813765	202994266	55480742	43390630	101839065	40804445	9743781	11956684	1775754410	413530930	390849269	755858246	171457229	192590734	240144848	157500465	4224496	296729222	483389607	782570075	589075802	786274096	254934962	91012283
WHI	4056368486	280393	13674248	3858814215	49873540	40424749	19168157	58750033	280393	13674248	0	3858814215	0	0	46535880	3337660	0	0	39864563	0	560186	0	0	18016659	0	0	1151498	0	0	34742496	0	0	402108	23605429	0	0	4021664321	3337660	560186	1553606	23605429	5520939	126345	0	0	34742496	18016659	39864563	46937988	3893116272	13674248	280393
AVE	4051571914	7348472	3059797324	298115290	270375364	213016758	78722156	60672237	7348472	6818959	3052978365	5134732	98613021	194367537	24907371	10958210	220929646	13580137	120297060	7364113	64212501	13512099	7630985	17726267	15065059	29127051	779681	12404404	3619694	4209481	10523009	38090160	872465	712670	239066	6025386	186442342	3209343765	571734065	32205679	31766799	9007852	9310826	1760586	0	17273692	52790732	183223057	65595563	84159218	355226052	3286323734
STR	4004702365	1512833	630127	34172570	591659279	250694295	817419421	523130938	1512833	247830	382297	31885398	849257	1437915	569614755	5414821	16330209	299494	189957695	3298603	53999200	3337513	101284	443102955	4567902	189496074	5802496	174116237	333757	290496591	14700099	116876960	55367584	13506296	32183408	0	1783306369	46580889	971698580	282830251	552962468	197305561	157765410	3392004	5589824	695301062	908651861	475594867	1043745822	115997411	235192424	4067580
ACT	3996307044	252837316	391690738	177903154	606795435	431730750	693837163	478976160	252837316	79315957	312374781	41615421	75110784	61176949	435612282	88422579	11870633	70889941	68768015	158667774	83772294	6644410	113878257	248078138	29668571	270139202	5988196	27100459	112862597	23076367	31586397	194732026	7079203	183916503	38443169	142495	1281272932	703439857	701596147	91853471	635315844	486214414	70960616	9185467	10735372	102730783	374088137	394560749	1216815144	444789593	238902927	927709442
