9-gram	*/*	9/*	9/1:9	*/1:9	*/2:10	*/3:11	*/4:12	*/5:13	*/6:14	*/7:15	*/8:16	*/9:17	*/-9:-1
XPERIMENT	152753458	0	0	0	152633393	0	0	120065	0	0	0	0	43456999
EXPERIMEN	152753458	0	0	152633393	0	0	120065	0	0	0	0	0	0
COMMUNICA	152740356	0	0	141943041	0	3518354	159208	6834764	284989	0	0	0	0
AVAILABLE	152664847	150037688	150037688	150037688	0	2627159	0	0	0	0	0	0	152664847
OMMUNICAT	150278579	0	0	0	139827420	0	3172198	159208	6834764	284989	0	0	0
DEPENDENT	149788715	46825423	46825423	49079136	0	98511847	0	0	2197732	0	0	0	131996703
EFFECTIVE	149428411	93845257	93845257	142824737	0	6463190	0	140484	0	0	0	0	99643267
EPARTMENT	148885096	0	0	0	148442485	0	0	0	0	442611	0	0	121167286
DEPARTMEN	148885096	0	0	148442485	0	0	0	0	442611	0	0	0	0
IMMEDIATE	146008110	53728272	53728272	146008110	0	0	0	0	0	0	0	0	53728272
INDEPENDE	145101924	0	0	144979946	0	0	0	121978	0	0	0	0	0
NDEPENDEN	145101924	0	0	0	144979946	0	0	0	121978	0	0	0	0
PPLICATIO	144978241	0	0	0	143079269	1602868	0	296104	0	0	0	0	0
RESPONSIB	144564110	0	0	140787697	0	3776413	0	0	0	0	0	0	0
APPLICATI	143375373	0	0	143079269	0	0	296104	0	0	0	0	0	0
ANAGEMENT	142337236	0	0	0	141067144	0	0	1168809	101283	0	0	0	141632616
MANAGEMEN	142337236	0	0	141067144	0	0	1168809	101283	0	0	0	0	0
GNIFICANT	140503990	0	0	0	0	133014250	0	7215756	273984	0	0	0	109351358
COMMITTEE	140393115	118868748	118868748	136561261	0	0	3831854	0	0	0	0	0	122221764
COUNTRIES	140381058	140381058	140381058	140381058	0	0	0	0	0	0	0	0	140381058
INSTITUTI	140177190	0	0	139975421	0	201769	0	0	0	0	0	0	0
GENERALLY	139841620	139841620	139841620	139841620	0	0	0	0	0	0	0	0	139841620
DIRECTION	139578289	100827132	100827132	136855868	0	1420339	1037928	150768	113386	0	0	0	101872235
CONSEQUEN	139275080	0	0	138149498	0	1125582	0	0	0	0	0	0	0
SERVATION	138577610	0	0	0	0	102170125	36105214	0	0	0	302271	0	84977687
STATEMENT	138266557	89976766	89976766	133312084	0	2174679	609277	1320375	850142	0	0	0	94509016
CONTRIBUT	137269010	0	0	137269010	0	0	0	0	0	0	0	0	0
OMMISSION	135657705	0	0	0	135145031	0	190444	322230	0	0	0	0	85439615
COMMISSIO	135517627	0	0	135004953	0	190444	322230	0	0	0	0	0	0
PHILOSOPH	134720435	0	0	134557783	0	162652	0	0	0	0	0	0	0
INISTRATI	134411481	0	0	0	1141566	0	133010482	0	0	259433	0	0	0
SOCIATION	134129266	0	0	0	0	129382389	4492534	0	128925	0	0	125418	108161789
SSOCIATIO	134004420	0	0	0	129382389	4367688	0	128925	0	0	125418	0	0
EPRESENTA	133680719	0	0	0	130274134	0	356255	2769709	135656	144965	0	0	174886
SCRIPTION	133663316	106245	106245	106245	775211	103803823	21509410	6864155	251308	353164	0	0	102540302
ASSOCIATI	133580278	0	0	133451353	0	0	128925	0	0	0	0	0	0
ASSOCIATE	133438295	15518222	15518222	132893636	0	151967	392692	0	0	0	0	0	15718513
ATTENTION	132414905	128701456	128701456	131476692	0	938213	0	0	0	0	0	0	129639669
DESCRIBED	131756361	131540958	131540958	131540958	0	215403	0	0	0	0	0	0	131756361
INTERPRET	128752259	13163087	13163087	124181497	0	1928031	2642731	0	0	0	0	0	13850736
CONTINUED	127268816	123662279	123662279	123662279	0	0	3606537	0	0	0	0	0	127268816
SUFFICIEN	127138428	0	0	110272519	0	16442746	0	423163	0	0	0	0	0
STABLISHE	126364761	0	0	0	125023760	0	846981	266135	227885	0	0	0	0
ARACTERIS	126269742	0	0	0	0	125567362	0	702380	0	0	0	0	0
ONSTRUCTI	125410654	0	0	0	104216433	0	21036728	157493	0	0	0	0	0
TEMPERATU	125274358	0	0	125172884	0	0	0	101474	0	0	0	0	0
EMPERATUR	125274358	0	0	0	125172884	0	0	0	101474	0	0	0	183275
MPERATURE	125091083	0	0	0	0	124989609	0	0	0	101474	0	0	102635680
ADVANTAGE	124957881	63931110	63931110	104470892	0	0	20486989	0	0	0	0	0	72386517
ONSTITUTI	124171782	0	0	0	118985690	0	5186092	0	0	0	0	0	0
DEVELOPED	123720006	118108656	118108656	118108656	0	2175628	0	303795	3131927	0	0	0	123720006
INCREASED	122496287	122496287	122496287	122496287	0	0	0	0	0	0	0	0	122496287
ISTRIBUTI	122446076	0	0	0	117687476	0	4595054	163546	0	0	0	0	0
BEGINNING	121986993	114330225	114330225	121986993	0	0	0	0	0	0	0	0	114330225
TICULARLY	121570116	134961	134961	134961	0	0	121435155	0	0	0	0	0	121570116
RTICULARL	121435155	0	0	0	0	121435155	0	0	0	0	0	0	0
QUESTIONS	120973232	120973232	120973232	120973232	0	0	0	0	0	0	0	0	120973232
RELIGIOUS	120669307	117449364	117449364	119496999	0	592933	265630	143494	170251	0	0	0	118621672
MMUNICATI	120601829	0	0	0	0	111582155	0	1740713	159208	6834764	284989	0	0
TABLISHED	120376888	0	0	0	0	119035887	0	846981	266135	227885	0	0	120376888
PUBLISHED	120336836	107976995	107976995	107976995	0	12359841	0	0	0	0	0	0	120336836
PROFESSIO	120134602	0	0	118736288	0	423716	471002	382793	120803	0	0	0	0
ROFESSION	120134602	0	0	0	118736288	0	423716	471002	382793	120803	0	0	25242815
UFFICIENT	119647299	0	0	0	106371138	0	13064205	0	211956	0	0	0	87951912
ACTERISTI	119377152	0	0	0	0	0	0	118674772	0	702380	0	0	0
RACTERIST	119377152	0	0	0	0	0	118674772	0	702380	0	0	0	0
CTERISTIC	119377152	0	0	0	0	0	0	0	118674772	0	702380	0	49888397
ILLUSTRAT	118488396	0	0	118488396	0	0	0	0	0	0	0	0	0
DISCUSSIO	117913270	0	0	117913270	0	0	0	0	0	0	0	0	0
ISCUSSION	117913270	0	0	0	117913270	0	0	0	0	0	0	0	95836510
AUTHORITY	116697449	116697449	116697449	116697449	0	0	0	0	0	0	0	0	116697449
ESSENTIAL	116174197	74121670	74121670	114451477	0	406090	397029	0	919601	0	0	0	75608770
CONSCIOUS	116080444	32982191	32982191	89108230	0	22761200	3393346	706752	0	110916	0	0	52474146
PPROPRIAT	116016399	0	0	0	106856554	0	8524191	635654	0	0	0	0	0
APPROPRIA	116016399	0	0	106856554	0	8524191	635654	0	0	0	0	0	0
POTENTIAL	115627970	91052860	91052860	115214664	0	0	106855	306451	0	0	0	0	91466166
EXPRESSIO	115394467	0	0	114882066	0	0	0	512401	0	0	0	0	0
XPRESSION	115394467	0	0	0	114882066	0	0	0	512401	0	0	0	91081816
TECHNOLOG	114617297	0	0	111673423	0	0	2598650	345224	0	0	0	0	0
STRIBUTIO	114561199	0	0	0	0	110634899	0	3762754	163546	0	0	0	0
CTIVITIES	114360389	0	0	0	113101457	0	114896	0	1144036	0	0	0	114360389
ERFORMANC	114191395	0	0	0	114044173	0	0	147222	0	0	0	0	0
RFORMANCE	114191395	0	0	0	0	114044173	0	0	147222	0	0	0	103802137
PERFORMAN	114191395	0	0	114044173	0	0	147222	0	0	0	0	0	0
PARTICIPA	114104732	0	0	113790199	0	0	314533	0	0	0	0	0	0
LICATIONS	114056701	0	0	0	0	0	100829127	12962880	0	264694	0	0	114056701
OPPORTUNI	114040569	0	0	114040569	0	0	0	0	0	0	0	0	0
ONCENTRAT	113709179	0	0	0	113572220	0	136959	0	0	0	0	0	0
CONCENTRA	113709179	0	0	113572220	0	136959	0	0	0	0	0	0	0
PROCEDURE	113329672	66904035	66904035	113329672	0	0	0	0	0	0	0	0	66904035
ACTIVITIE	113216353	0	0	113101457	0	114896	0	0	0	0	0	0	0
ORRESPOND	113048754	0	0	0	113048754	0	0	0	0	0	0	0	12766619
CORRESPON	113048754	0	0	113048754	0	0	0	0	0	0	0	0	0
REVOLUTIO	112994943	0	0	111653398	0	0	245131	202564	0	0	893850	0	0
ISTRATION	111403533	0	0	0	0	0	17043463	0	94100637	0	0	259433	107156621
PPORTUNIT	110822609	0	0	0	110822609	0	0	0	0	0	0	0	0
UNICATION	110078617	0	0	0	0	0	0	101220734	0	1578922	159208	6834764	75553449
MUNICATIO	110078617	0	0	0	0	0	101220734	0	1578922	159208	6834764	284989	0
ERSTANDIN	110013876	0	0	0	0	0	103702432	0	0	6311444	0	0	0
DERSTANDI	110013876	0	0	0	0	103702432	0	0	6311444	0	0	0	0
RSTANDING	110013876	0	0	0	0	0	0	103702432	0	0	6311444	0	104564115
PSYCHOLOG	109355181	0	0	106971393	0	0	0	413849	1969939	0	0	0	0
AGREEMENT	108374844	80276151	80276151	99786541	0	0	8588303	0	0	0	0	0	86425956
INVESTIGA	107682299	0	0	107682299	0	0	0	0	0	0	0	0	0
NSIDERABL	107597980	0	0	0	0	105920034	0	1677946	0	0	0	0	0
ONSIDERAB	107597980	0	0	0	105920034	0	1677946	0	0	0	0	0	0
NVESTIGAT	107362771	0	0	0	107362771	0	0	0	0	0	0	0	0
IMPORTANC	106929360	0	0	106712547	0	216813	0	0	0	0	0	0	0
MPORTANCE	106827435	0	0	0	106610622	0	216813	0	0	0	0	0	106827435
INDUSTRIA	104751156	397955	397955	103720987	0	141490	529612	359067	0	0	0	0	397955
NDUSTRIAL	104639905	0	0	0	103609736	0	141490	529612	359067	0	0	0	87885618
PROPRIATE	104289144	0	0	0	0	95598853	0	8524191	166100	0	0	0	87542678
SSOCIATED	103653802	0	0	0	101716328	1445067	151967	340440	0	0	0	0	103653802
INCREASIN	103319528	0	0	103136852	0	0	0	182676	0	0	0	0	0
NCREASING	103319528	0	0	0	103136852	0	0	0	182676	0	0	0	69713169
SUCCESSFU	103286536	0	0	94020991	0	9265545	0	0	0	0	0	0	0
UCCESSFUL	103286536	0	0	0	94020991	0	9265545	0	0	0	0	0	77104666
TECHNIQUE	102818552	46320076	46320076	102598491	0	0	0	220061	0	0	0	0	46540137
HISTORICA	100517192	283537	283537	99757379	348085	226229	0	0	185499	0	0	0	283537
ISTORICAL	100233655	0	0	0	99473842	348085	226229	0	0	185499	0	0	90231294
VERYTHING	100209737	0	0	0	100209737	0	0	0	0	0	0	0	100209737
EVERYTHIN	100209737	0	0	100209737	0	0	0	0	0	0	0	0	0
DESCRIPTI	100163486	0	0	100163486	0	0	0	0	0	0	0	0	0
ANUFACTUR	100142882	0	0	0	100041432	0	0	101450	0	0	0	0	0
MANUFACTU	100142882	0	0	100041432	0	0	101450	0	0	0	0	0	0
PRACTICAL	99965718	69860667	69860667	97647737	0	2317981	0	0	0	0	0	0	72178648
ETERMINED	99492703	0	0	0	94947298	0	1214207	3110391	220807	0	0	0	99026310
ALIZATION	99402978	0	0	0	0	13466573	8532054	17834116	31136538	10304464	3581626	10232496	92282396
GRICULTUR	99344545	0	0	0	98865027	0	0	479518	0	0	0	0	0
AGRICULTU	99344545	0	0	98865027	0	0	479518	0	0	0	0	0	0
IRCUMSTAN	98950620	0	0	0	98950620	0	0	0	0	0	0	0	0
CIRCUMSTA	98950620	0	0	98950620	0	0	0	0	0	0	0	0	0
ASHINGTON	98704427	0	0	0	98704427	0	0	0	0	0	0	0	98704427
WASHINGTO	98704427	0	0	98704427	0	0	0	0	0	0	0	0	0
ESCRIPTIO	98363406	0	0	0	88933708	9245860	0	0	183838	0	0	0	126825
DEMONSTRA	97985554	0	0	97876936	0	108618	0	0	0	0	0	0	0
CUMSTANCE	97080663	0	0	111607	0	0	96969056	0	0	0	0	0	13744087
EMONSTRAT	97048078	0	0	0	96939460	0	108618	0	0	0	0	0	0
RCUMSTANC	96969056	0	0	0	0	96969056	0	0	0	0	0	0	0
THROUGHOU	96182381	0	0	96182381	0	0	0	0	0	0	0	0	0
HROUGHOUT	96182381	0	0	0	96182381	0	0	0	0	0	0	0	96182381
RECOGNIZE	96176170	35347311	35347311	94892339	0	1283831	0	0	0	0	0	0	35347311
LITERATUR	96102855	996862	996862	96102855	0	0	0	0	0	0	0	0	996862
PROVISION	96004512	40035470	40035470	96004512	0	0	0	0	0	0	0	0	40035470
NISTRATIO	95501636	0	0	0	0	1141566	0	94100637	0	0	259433	0	0
FINANCIAL	94973927	89946991	89946991	94649923	0	0	324004	0	0	0	0	0	90270995
ITERATURE	94480363	0	0	0	94480363	0	0	0	0	0	0	0	93086473
ROPORTION	94303392	0	0	0	89418662	0	0	4884730	0	0	0	0	51716643
PROPORTIO	94303392	0	0	89418662	0	0	4884730	0	0	0	0	0	0
RESOURCES	92890018	92890018	92890018	92890018	0	0	0	0	0	0	0	0	92890018
CERTAINLY	92872005	92207776	92207776	92207776	0	664229	0	0	0	0	0	0	92872005
COLLECTIO	92643085	103554	103554	82611039	0	10032046	0	0	0	0	0	0	103554
MEDIATELY	92586777	306939	306939	306939	0	92279838	0	0	0	0	0	0	92586777
OLLECTION	92539531	0	0	0	82507485	0	10032046	0	0	0	0	0	72335214
EXISTENCE	92505744	89086621	89086621	89847550	0	2126199	531995	0	0	0	0	0	91744815
ONSIDERAT	92421998	0	0	0	90365029	0	2056969	0	0	0	0	0	0
MMEDIATEL	92279838	0	0	0	92279838	0	0	0	0	0	0	0	0
CONNECTIO	92253572	0	0	89330627	0	225962	461255	0	2235728	0	0	0	0
ONNECTION	92253572	0	0	0	89330627	0	225962	461255	0	2235728	0	0	69648022
CORPORATI	92049028	0	0	79141576	0	12907452	0	0	0	0	0	0	0
EPARATION	91972634	0	0	0	36886670	55085964	0	0	0	0	0	0	73604781
EMPLOYMEN	91572289	0	0	70201972	0	20872229	0	0	498088	0	0	0	0
MPLOYMENT	91572289	0	0	0	70201972	0	20872229	0	0	498088	0	0	89931976
MATERIALS	91443932	91143958	91143958	91143958	0	0	299974	0	0	0	0	0	91443932
SENTATION	90689916	0	0	0	0	0	30926354	0	56713232	0	0	2769709	69669018
ESENTATIO	90689916	0	0	0	0	30926354	0	56713232	0	0	2769709	135656	0
RINCIPLES	90657731	0	0	0	90657731	0	0	0	0	0	0	0	90657731
ENERATION	90040936	0	0	0	76979639	0	11982836	0	0	1078461	0	0	66662481
SIDERATIO	89829533	0	0	0	0	0	88468747	0	1360786	0	0	0	0
IDERATION	89829533	0	0	0	0	0	0	88468747	0	1360786	0	0	60110305
NSIDERATI	89829533	0	0	0	0	88468747	0	1360786	0	0	0	0	0
ONVENTION	89795867	0	0	0	87973797	0	1705180	116890	0	0	0	0	44870641
CONVENTIO	89795867	0	0	87973797	0	1705180	116890	0	0	0	0	0	0
INSTRUMEN	89447824	0	0	89447824	0	0	0	0	0	0	0	0	0
NSTRUMENT	89447824	0	0	0	89447824	0	0	0	0	0	0	0	40292066
PRINCIPAL	88844735	70383823	70383823	88844735	0	0	0	0	0	0	0	0	70383823
FESSIONAL	88827784	0	0	0	0	0	87429470	0	423716	471002	382793	120803	68936361
INTRODUCE	88825342	19498890	19498890	87901891	0	923451	0	0	0	0	0	0	19784268
DIVIDUALS	87854335	0	0	0	0	87854335	0	0	0	0	0	0	87854335
FFERENCES	87593624	0	0	0	0	87593624	0	0	0	0	0	0	87593624
GENERATIO	87409705	0	0	74348408	0	11982836	0	0	1078461	0	0	0	0
INSTRUCTI	87382127	0	0	87382127	0	0	0	0	0	0	0	0	0
COMPONENT	87287356	39691421	39691421	86804193	0	0	124726	0	358437	0	0	0	40049858
OFESSIONA	87282036	0	0	0	0	85883722	0	423716	471002	382793	120803	0	0
ONSEQUENC	87199247	0	0	0	87072150	0	127097	0	0	0	0	0	0
NSEQUENCE	87199247	0	0	0	0	87072150	0	127097	0	0	0	0	43708956
BSERVATIO	87182884	0	0	0	87182884	0	0	0	0	0	0	0	0
OBSERVATI	87182884	0	0	87182884	0	0	0	0	0	0	0	0	0
MENTIONED	86499007	83540627	83540627	83540627	0	236429	0	0	2721951	0	0	0	86499007
INTERESTS	86405949	86405949	86405949	86405949	0	0	0	0	0	0	0	0	86405949
REQUENTLY	86392787	0	0	0	81661621	0	4731166	0	0	0	0	0	86392787
FREQUENTL	86392787	0	0	81661621	0	4731166	0	0	0	0	0	0	0
RPORATION	86070535	0	0	0	0	77788741	0	8281794	0	0	0	0	65198119
ORPORATIO	86070535	0	0	0	77788741	0	8281794	0	0	0	0	0	0
ONCLUSION	85936434	0	0	0	85936434	0	0	0	0	0	0	0	56665504
CONCLUSIO	85936434	0	0	85936434	0	0	0	0	0	0	0	0	0
TIFICATIO	85588034	0	0	0	0	9749291	35540793	39009143	1182860	0	105947	0	0
INTRODUCT	85248678	0	0	84885995	0	362683	0	0	0	0	0	0	0
RADITIONA	85202410	0	0	0	84425734	0	0	776676	0	0	0	0	0
TRANSPORT	85144123	41636645	41636645	85144123	0	0	0	0	0	0	0	0	41636645
OSSIBILIT	85129065	0	0	0	79530860	0	5598205	0	0	0	0	0	0
POSSIBILI	85129065	0	0	79530860	0	5598205	0	0	0	0	0	0	0
ADITIONAL	84962085	0	0	0	0	84185409	0	0	776676	0	0	0	71897093
CONCERNED	84620231	83350541	83350541	83350541	0	1269690	0	0	0	0	0	0	84471367
QUIREMENT	84383184	0	0	0	0	84383184	0	0	0	0	0	0	23770836
DDITIONAL	83810171	0	0	0	83810171	0	0	0	0	0	0	0	77664573
ADDITIONA	83810171	0	0	83810171	0	0	0	0	0	0	0	0	0
REQUIREME	83413994	0	0	83413994	0	0	0	0	0	0	0	0	0
EQUIREMEN	83413994	0	0	0	83413994	0	0	0	0	0	0	0	0
UMSTANCES	82971401	0	0	0	111607	0	0	82859794	0	0	0	0	82971401
DEPENDENC	82731315	0	0	31555890	0	46468099	0	0	4585348	121978	0	0	0
ALTERNATI	82140793	0	0	82140793	0	0	0	0	0	0	0	0	0
SIDERABLE	81580063	131842	131842	131842	0	0	79770275	0	1677946	0	0	0	81580063
PPEARANCE	81460286	0	0	0	74336664	0	787021	6336601	0	0	0	0	72825239
APPEARANC	81460286	0	0	74336664	0	787021	6336601	0	0	0	0	0	0
ISTINGUIS	80988000	0	0	0	77786168	0	3201832	0	0	0	0	0	0
DISTINGUI	80988000	0	0	77786168	0	3201832	0	0	0	0	0	0	0
STINGUISH	80988000	0	0	0	0	77786168	0	3201832	0	0	0	0	22832288
ARTICIPAT	80731515	0	0	0	80518803	0	0	212712	0	0	0	0	0
SPONSIBIL	80729582	0	0	0	0	79934895	0	794687	0	0	0	0	0
ONSIBILIT	80729582	0	0	0	0	0	0	79934895	0	794687	0	0	0
PONSIBILI	80729582	0	0	0	0	0	79934895	0	794687	0	0	0	0
ESPONSIBI	80729582	0	0	0	79934895	0	794687	0	0	0	0	0	0
NVESTMENT	80595269	0	0	0	79775103	0	591752	228414	0	0	0	0	64468652
INVESTMEN	80446719	0	0	79626553	0	591752	228414	0	0	0	0	0	0
OBJECTIVE	80160221	45014526	45014526	80020569	0	0	0	0	139652	0	0	0	45154178
RECOMMEND	79652810	12848044	12848044	79652810	0	0	0	0	0	0	0	0	12848044
TRANSFORM	79535698	11047001	11047001	79297558	0	0	238140	0	0	0	0	0	11047001
NTRODUCTI	78481394	0	0	0	78118711	0	362683	0	0	0	0	0	311437
TRODUCTIO	78169957	0	0	0	0	77807274	0	362683	0	0	0	0	0
