1,427
23,690
994,212
837,522
1265,750
209,320
952,715
999,687
329,726
1233,85
126,626
117,462
803,143
652,712
142,298
582,50
370,309
20,838
903,488
380,515
681,536
1128,446
291,75
502,206
70,673
233,721
127,81
99,255
765,765
102,871
388,51
612,135
763,723
387,425
639,278
1191,180
728,514
607,869
199,302
699,282
420,354
823,64
527,747
405,64
564,50
35,526
524,334
913,61
542,667
582,722
492,36
765,353
1074,340
840,450
875,400
937,477
2,264
1146,260
1027,714
1101,320
182,474
801,767
1260,381
72,253
195,73
390,497
1056,508
107,275
753,504
699,180
890,540
894,105
509,270
530,249
378,94
50,65
870,486
1029,667
728,840
974,809
803,751
92,354
749,509
1198,206
144,0
290,208
1195,249
470,647
1233,809
801,270
874,793
903,406
310,192
1109,551
806,812
1069,841
1161,158
1044,311
1168,23
542,227
1268,361
1166,446
421,385
782,432
478,82
1034,885
1154,217
216,859
677,497
372,660
806,82
612,704
483,201
820,260
933,418
873,885
744,789
147,143
594,220
45,144
1268,135
699,119
383,221
27,854
328,352
499,880
1298,75
437,317
102,52
1184,432
996,826
448,25
1211,764
987,165
913,133
35,595
271,436
1036,155
1255,624
1287,690
1298,714
492,688
827,693
1129,521
1028,196
1176,388
654,190
967,106
340,364
201,215
59,670
495,606
768,227
576,873
746,844
618,82
1238,253
387,84
50,325
631,690
705,418
937,711
1207,152
152,682
768,829
528,686
716,220
1183,141
277,866
35,487
44,749
798,889
705,476
326,816
1251,224
1310,381
1109,343
1211,255
60,138
1081,103
659,603
214,65
835,703
1290,838
534,645
539,249
1074,50
406,425
209,768
652,182
512,838
316,212
820,16
35,147
985,691
604,65
407,488
811,880
1193,432
937,675
344,416
400,325
1145,168
868,530
769,871
1298,404
134,388
1039,436
1033,812
681,393
517,337
582,844
725,201
1012,187
480,675
654,704
1275,144
115,249
12,588
1028,644
306,220
326,592
671,431
97,431
1146,16
380,648
955,686
604,325
119,842
1086,618
1309,54
562,540
1146,464
996,523
311,327
758,471
92,281
671,655
550,565
125,103
699,404
228,752
1298,371
576,649
552,380
1260,513
821,427
783,141
0,78
683,40
806,826
552,276
371,567
431,0
267,532
1086,808
336,278
372,234
530,46
58,628
12,371
855,546
282,644
938,660
1176,22
995,649
49,476
1238,514
1279,485
539,697
50,513
1190,256
490,235
430,84
18,217
453,215
1103,42
274,164
242,537
884,752
550,329
855,299
100,845
328,526
910,514
933,476
100,49
2,378
301,501
1298,180
939,842
470,298
35,528
746,498
156,453
857,439
564,554
144,777
1165,718
840,695
546,793
749,385
576,201
529,103
835,751
1266,26
1093,577
207,852
1297,757
933,866
841,724
1201,129
199,859
1074,560
335,649
271,794
1125,724
838,229
1183,779
782,686
413,393
765,129
77,725
1146,430
59,224
870,107
656,704
164,270
865,320
181,521
1063,40
229,95
142,392
987,515
838,644
276,9
103,670
790,58
174,240
1298,819
1131,703
435,861
1308,712
782,626
806,147
523,261
979,379
1026,137
591,191
726,540
92,561
400,392
1309,427
728,380
937,417
171,880
1308,182
1218,540
311,119
104,565
201,343
266,583
363,371
397,89
119,714
919,130
142,502
773,691
995,245
1265,816
748,540
1185,103
1072,789
185,170
1020,754
946,626
677,600
93,805
1081,791
633,294
512,840
728,50
771,137
520,506
897,393
1154,565
541,471
1297,137
967,474
499,208
639,879
318,269
629,281
975,649
490,260
545,577
156,5
383,669
913,532
119,164
162,688
1092,793

fold along x=655
fold along y=447
fold along x=327
fold along y=223
fold along x=163
fold along y=111
fold along x=81
fold along y=55
fold along x=40
fold along y=27
fold along y=13
fold along y=6
