on x=-31..17,y=-17..30,z=-43..8
on x=-6909..9001,y=-61556..-41382,z=44118..70793
on x=17333..28049,y=-86638..-52349,z=-48249..-30637
on x=-54748..-36063,y=-53508..-34114,z=-70131..-49615
on x=-28293..-6652,y=-90647..-75184,z=-12684..-4912
on x=-45167..-15419,y=-28987..-21061,z=-81664..-51780
on x=-23584..1129,y=-76808..-57898,z=33500..49257
on x=20054..42613,y=-47298..-28108,z=-82063..-42355
on x=-53852..-50576,y=-58701..-26251,z=-50341..-23253
on x=16211..25395,y=-21523..2810,z=-76930..-73048
on x=-32350..-13979,y=15333..30593,z=63987..77503
on x=-8540..11739,y=-11533..13133,z=-83865..-74061
on x=-14483..-1886,y=-54080..-24422,z=68560..79157
on x=-3326..5748,y=-72142..-58513,z=26135..45825
on x=44814..49451,y=-57335..-50365,z=40302..43907
on x=4519..27632,y=-48455..-26946,z=56271..73794
on x=22085..40257,y=-68663..-56245,z=6126..33900
on x=62259..84567,y=-897..27249,z=25041..52288
on x=-13814..513,y=-50211..-37031,z=-75913..-52812
on x=29410..54807,y=-59381..-42873,z=-59848..-44729
on x=48369..55589,y=-47449..-32898,z=29920..58696
on x=-79974..-56928,y=33336..65377,z=1585..19083
on x=61530..76326,y=-44520..-38327,z=-10820..7865
on x=-519..20760,y=-84206..-61108,z=-35843..-26411
on x=-17069..7484,y=-90856..-64674,z=-24329..-1589
on x=-37063..-25376,y=49505..53507,z=-56710..-42167
on x=-4283..20066,y=-26785..-3166,z=65856..80455
on x=-48412..-15302,y=-20001..-2462,z=66578..77948
on x=-85185..-46109,y=12909..39448,z=19995..51409
on x=9077..10893,y=-45852..-25338,z=-76093..-58832
on x=4235..8723,y=-80698..-63392,z=10001..36085
on x=-80998..-68799,y=-15775..9125,z=8355..32754
on x=29736..45732,y=-68693..-46530,z=-65819..-28780
on x=-84121..-55327,y=33443..54629,z=-27874..1837
on x=63558..91048,y=14768..50851,z=-10949..5883
on x=-74257..-64318,y=17934..34398,z=-42665..-30288
on x=-35499..7,y=-68944..-57972,z=-51036..-27054
on x=-5826..14898,y=73968..86327,z=-1325..19771
on x=52265..75083,y=-43126..-37164,z=13180..33003
on x=-46654..-24382,y=29960..46509,z=-74247..-48459
on x=47920..68066,y=46517..57977,z=-39718..-25106
on x=67799..77261,y=-30142..2227,z=-47871..-33556
on x=32537..50313,y=-60037..-36772,z=-57616..-34052
on x=55131..80059,y=9933..30679,z=31041..39852
on x=-51790..-25717,y=69072..86821,z=5328..25157
on x=-9634..15278,y=-44873..-27097,z=52183..76657
on x=26064..42758,y=-65898..-39589,z=-60043..-38316
on x=-71038..-50707,y=25477..49544,z=-9651..13867
on x=51862..75445,y=-48493..-28730,z=-40041..-16410
on x=-12631..-1689,y=-2359..25910,z=71977..98447
on x=58553..94594,y=-18471..1345,z=-19004..-11715
on x=-76801..-60256,y=-29512..-9792,z=17888..53358
on x=-36213..-13560,y=-31746..-2878,z=67013..88654
on x=19685..41298,y=31326..45650,z=59044..70405
on x=-4773..12117,y=-74551..-58365,z=27808..58364
on x=-54161..-36263,y=-58729..-50436,z=35796..52763
on x=7068..33109,y=-28410..-18985,z=65097..79170
on x=543..21647,y=42265..65414,z=-76179..-44183
on x=-74831..-62130,y=25051..37135,z=-182..2511
on x=-55744..-48390,y=-55491..-38135,z=29126..58726
on x=17589..46473,y=-19752..-4935,z=68463..81314
on x=-8754..14914,y=68586..95547,z=-13195..25723
on x=-45570..-29917,y=61533..81728,z=-9102..11762
on x=-87207..-67050,y=-5358..6724,z=32549..40075
on x=44807..69788,y=-8679..21707,z=-72043..-48974
on x=67959..84337,y=30525..40997,z=-5550..18396
on x=-66642..-48144,y=36756..53651,z=-18915..2025
on x=-14430..-4207,y=-30597..-15319,z=-77714..-60129
on x=38233..57987,y=-38146..-17316,z=62073..80776
on x=-44193..-21291,y=63992..82999,z=13111..26839
on x=47767..81128,y=-17336..7363,z=35331..66767
on x=-10931..15773,y=-26584..-7643,z=60045..81152
on x=-21028..8981,y=3056..5995,z=-89837..-77762
on x=53372..83042,y=-38534..-30429,z=11424..44089
on x=-20367..-12598,y=-73831..-42838,z=37245..50968
on x=-93494..-69398,y=-20963..4662,z=-19387..-6312
on x=-38328..-7673,y=48091..72363,z=-45146..-27089
on x=41967..55226,y=-22379..-10396,z=-79439..-64136
on x=-28947..-12923,y=55354..77038,z=-10552..14300
on x=17750..40077,y=-72902..-52282,z=33711..54899
on x=-8384..19161,y=-78375..-70414,z=26928..39449
on x=21150..30449,y=46423..80290,z=-56110..-29699
on x=77183..86674,y=-6921..23292,z=-10970..15396
on x=-80017..-60226,y=-44559..-30295,z=-12256..12301
on x=14432..31999,y=62141..83030,z=-59990..-35638
on x=65838..69805,y=-53619..-37236,z=4018..36533
on x=-68396..-47047,y=-53102..-30228,z=9435..25148
on x=-26617..10833,y=1875..16926,z=-92009..-61186
on x=-38124..-3078,y=6187..36060,z=66201..88886
on x=-72143..-45931,y=-27814..-16383,z=38655..59573
on x=61446..71298,y=-5408..13016,z=38021..60585
on x=-3408..11974,y=55698..68864,z=37690..70781
on x=47034..72746,y=-55183..-33673,z=23446..40762
on x=-84421..-61649,y=-6840..5363,z=14932..43322
on x=28846..65493,y=-72426..-48346,z=-20535..-10722
on x=-78528..-59010,y=-22590..11550,z=-47404..-41508
off x=-74639..-48768,y=50612..58676,z=-37470..-23435
off x=43917..73832,y=2245..19604,z=-65699..-56425
on x=15344..22153,y=-79043..-61452,z=-32495..4414
off x=58763..90185,y=-25653..-9217,z=-25619..-6105
on x=-76822..-52893,y=42123..54159,z=-5873..23732
on x=-73837..-54010,y=-34332..-8871,z=15166..40844
on x=-68153..-37957,y=35664..48505,z=-54094..-31793
off x=-78798..-58209,y=-1962..22855,z=-30619..-17925
off x=30588..44097,y=-39741..-16114,z=52031..76732
off x=-21370..-3036,y=-92078..-63714,z=-23463..-9635
off x=-39616..-9573,y=-76126..-52989,z=-36329..-25733
off x=-78975..-60696,y=5492..16103,z=37680..45425
on x=-13273..4741,y=-57234..-22905,z=-84956..-60280
on x=12195..39003,y=-56490..-28038,z=46958..84048
on x=-65407..-38585,y=-67817..-42389,z=-12866..9632
off x=54548..66564,y=-61939..-42742,z=-22049..9590
on x=-56650..-35894,y=51789..62557,z=-8337..9488
off x=51851..60699,y=-58887..-26242,z=-46246..-36918
on x=-30216..3645,y=65431..87903,z=3102..28512
off x=-38385..-20582,y=-67082..-51436,z=-50559..-33537
off x=-37826..-24595,y=55536..90023,z=-27711..-15046
on x=-88016..-51046,y=17580..52942,z=16868..29419
off x=20737..24390,y=71411..81207,z=7623..42707
off x=-79899..-61924,y=14415..31841,z=-22454..-1564
off x=30389..53719,y=-7867..-4328,z=-71576..-52704
on x=-33559..-17170,y=28168..43819,z=-74041..-68536
on x=62447..80758,y=-52441..-20813,z=11444..34397
off x=6189..17502,y=-69036..-44498,z=37852..65122
on x=8710..43957,y=-60672..-36883,z=-73854..-47471
on x=-63831..-42541,y=-47630..-33073,z=-35136..-23775
off x=-54635..-47473,y=41469..47997,z=-37298..-19312
on x=19094..36724,y=59501..73156,z=-11554..2780
on x=-36499..-5010,y=31578..59809,z=50869..79415
on x=-34865..-25789,y=11805..33967,z=57305..89626
on x=-50240..-39620,y=-81921..-51481,z=10359..28340
on x=-77806..-70466,y=-30235..-10612,z=3085..22812
off x=551..19833,y=-76142..-57090,z=41520..54215
off x=-79120..-72537,y=-22772..-11937,z=-20754..-805
on x=-31334..-1081,y=-78350..-64599,z=24953..35506
on x=-51889..-20757,y=-74362..-51343,z=-34621..-15692
on x=-98265..-66145,y=-24839..1358,z=15084..24204
on x=38568..60507,y=26311..38854,z=41126..63130
on x=56296..82005,y=-4401..12363,z=32618..57099
on x=-46852..-16936,y=41968..79172,z=-55910..-41041
off x=13532..40243,y=59041..84883,z=-24915..-6012
off x=-70988..-55771,y=-27811..-11605,z=-48798..-30685
on x=-54732..-28612,y=50039..67869,z=30748..51720
on x=-83072..-60710,y=-36043..-10715,z=-13135..10245
on x=10728..36396,y=-31100..-18055,z=57919..84461
on x=2737..12084,y=-85649..-62210,z=-4469..20470
off x=-44779..-24754,y=53929..71783,z=-50551..-33795
off x=-82953..-57138,y=15163..42222,z=-32984..-15683
on x=-61323..-50856,y=-53357..-47904,z=-35587..-22281
on x=-74588..-57833,y=-8832..6132,z=-31991..-24666
off x=-27374..-15579,y=-59298..-34543,z=-69631..-48697
off x=-27254..-9222,y=71007..92442,z=-3642..5546
off x=28969..57928,y=57762..73100,z=12034..21785
on x=-30375..-12525,y=52858..65456,z=-54830..-33732
on x=60470..95369,y=-2198..23349,z=-29883..-8231
on x=-13378..-8866,y=49702..52549,z=-64388..-44609
off x=-32460..-18370,y=60059..68523,z=33081..53134
off x=43676..68601,y=44878..74155,z=17421..23197
on x=-45699..-37167,y=-25693..-8124,z=-81683..-65258
on x=-58139..-40120,y=-24376..2800,z=-65986..-47088
on x=-49747..-44146,y=46481..69677,z=-56278..-36813
on x=-16341..4614,y=60869..81852,z=26267..50883
off x=-13764..3695,y=-80186..-53825,z=-48931..-38545
off x=7407..32603,y=20253..45103,z=-67931..-66776
on x=14925..45347,y=31662..50222,z=53950..78292
on x=13191..26905,y=62052..92403,z=-31024..1155
on x=-83062..-54122,y=-1357..19888,z=27293..48527
off x=-93419..-68794,y=-31330..-7620,z=4925..33729
off x=-14318..-5495,y=57170..79754,z=27999..47808
off x=-74220..-50632,y=-46040..-26079,z=42743..49504
on x=19302..52277,y=-6661..31359,z=58677..87046
on x=57756..67065,y=-12060..1434,z=28209..50664
on x=-45256..-18994,y=64734..91459,z=-22776..147
on x=2323..22083,y=-89059..-63282,z=-49116..-32115
on x=27373..58488,y=48511..78089,z=-25094..-5863
on x=-46047..-19903,y=-34084..-17918,z=-86422..-56649
off x=27981..32209,y=7490..27523,z=58491..80769
off x=-39210..-18976,y=-22509..29,z=-79485..-60560
off x=-22207..3806,y=74571..91724,z=-11234..12761
off x=-97092..-68711,y=5374..12518,z=4923..11841
off x=-90882..-68060,y=-16889..-11552,z=-5102..10039
off x=-11213..6478,y=-85565..-72283,z=-4476..8128
off x=64470..75862,y=10465..21634,z=-40243..-14437
off x=-27023..-4099,y=-15964..10612,z=67148..78876
off x=27963..54332,y=49375..73688,z=-44834..-7022
off x=-85216..-67584,y=-10377..18116,z=-43000..-22112
on x=72263..90946,y=6704..33616,z=771..33494
off x=-3433..25282,y=-9347..12401,z=-81820..-70318
on x=21693..58088,y=43923..61620,z=27668..46963
on x=39275..64334,y=-69135..-35447,z=-47184..-34444
off x=-32867..-7283,y=33466..64518,z=-65055..-36273
on x=32636..60251,y=-3200..14231,z=45891..68060
off x=50431..66008,y=7268..32152,z=50280..52350
off x=-63589..-60337,y=50981..55766,z=-18627..-6279
off x=8350..13892,y=-11989..6902,z=63824..88445
off x=-18142..-1779,y=43113..61876,z=-65235..-42503
on x=28737..38695,y=-3968..10606,z=60307..85107
on x=-43061..-32064,y=-9548..3036,z=47770..85409
on x=-27198..1005,y=77204..96476,z=-22312..-3369
off x=-26927..-4332,y=-93413..-62648,z=-2165..15047
on x=882..15563,y=-80136..-53702,z=34131..58891
on x=-82201..-55429,y=-15919..-9449,z=-50253..-22652
off x=40616..66339,y=-57859..-47076,z=10603..36553
on x=18063..33341,y=69011..93465,z=-8627..-2040
off x=-68385..-60942,y=30536..50506,z=1797..9915
on x=-40928..-30471,y=-82701..-64341,z=-35902..-18193
off x=-77469..-57415,y=-24271..-6869,z=8167..25744
on x=24531..61482,y=-66994..-46687,z=22052..36424
off x=-28776..-3137,y=70836..93673,z=-12735..7999
off x=6064..16870,y=52387..90446,z=15339..41943
off x=68478..76396,y=-41052..-24834,z=-39798..-16372
off x=28793..45427,y=-66929..-48078,z=27086..47805
off x=-67582..-45224,y=16788..32165,z=-62442..-49126
off x=-84727..-64172,y=9719..33126,z=-50240..-36413
off x=2764..9857,y=68298..90509,z=6926..34758
on x=-59645..-42830,y=44942..60976,z=9930..34747
on x=-7043..20419,y=-95055..-75260,z=-10382..13178
off x=-4928..21508,y=-54356..-42031,z=63343..71761
off x=-4483..8807,y=-82132..-61856,z=31416..63277
on x=-72217..-55909,y=46952..67423,z=10714..31698
off x=22895..58198,y=47638..57414,z=25383..50967
off x=70546..91637,y=-48361..-21603,z=2899..10335
on x=7909..29028,y=-64056..-52017,z=35749..74647
off x=62260..98572,y=8097..20893,z=-8563..2624
off x=33752..54759,y=36452..63551,z=28533..51030
off x=63896..85471,y=28114..42147,z=-26803..-17284
off x=43558..70451,y=-17272..13603,z=38130..67484
on x=-19731..6034,y=-15193..12094,z=-81066..-60427
off x=49659..72102,y=2603..16710,z=53930..76446
off x=-5332..26219,y=-16112..16161,z=74016..87514
off x=-84911..-54855,y=35128..47433,z=-10860..9165
off x=17935..47626,y=12273..26771,z=-72306..-53894
off x=26346..27207,y=-60137..-44600,z=-72346..-36244
on x=-46145..-43523,y=-49645..-30008,z=38829..58204
off x=-86551..-64146,y=-12293..14180,z=-38097..-32731
off x=27238..64184,y=-14354..6709,z=-84864..-57867
off x=-77014..-45379,y=-65518..-37193,z=-21935..2444
on x=-12304..-8053,y=-32349..-1395,z=58655..80497
on x=60942..83152,y=-53023..-35167,z=-17188..13921
on x=30704..42290,y=53720..85918,z=-6435..11238
off x=-9341..12410,y=-9684..1176,z=65742..82506
off x=52580..71820,y=-14100..8167,z=-48182..-32699
off x=-42414..-26715,y=286..21760,z=51828..88130
off x=-24023..1914,y=-78725..-67305,z=-57408..-32261
off x=-1061..34327,y=-41010..-16073,z=66069..77692
off x=-27106..-11480,y=-129..22973,z=-90479..-56907
on x=28531..62573,y=46883..69383,z=-11048..22810
on x=71560..96555,y=-10327..5671,z=2846..39738
off x=15176..26978,y=-88043..-66452,z=-35176..-9815
off x=-21046..-2463,y=74147..88780,z=-22899..7921
off x=62521..73879,y=-6047..23513,z=25987..41982
off x=-3229..10686,y=26952..30191,z=-86491..-69080
on x=54889..65155,y=-8873..22280,z=46500..63262
on x=31457..39435,y=45593..77266,z=18802..43882
off x=-56671..-39916,y=-69216..-52639,z=-25565..-4992
on x=101..4685,y=-12296..8001,z=-83483..-79508
on x=-73290..-37527,y=44928..65483,z=-9413..-5646
on x=-35222..-23190,y=-73159..-49735,z=-57972..-42478
on x=13833..31933,y=19452..33559,z=72451..89356
on x=29205..56079,y=46677..62132,z=40103..54403
off x=-2638..11110,y=23932..40331,z=-87224..-51338
on x=35387..44166,y=-66558..-44113,z=49996..62991
off x=-15021..9148,y=-37367..-22659,z=-76451..-51588
off x=19600..42706,y=9725..35919,z=-88597..-50137
off x=-97042..-67514,y=-6597..3898,z=11572..33424
off x=-39628..-19723,y=58528..82562,z=-11091..6319
off x=-8834..-1223,y=-89647..-71163,z=11939..19850
on x=-65021..-39602,y=-71515..-46679,z=-23801..3437
off x=-83879..-62719,y=13926..28623,z=-8747..21702
off x=-8646..-3497,y=8971..26462,z=-98278..-61916
on x=-33221..-9104,y=-78841..-46220,z=-43878..-41648
off x=-43550..-17837,y=-9584..8219,z=-76098..-74685
off x=-82579..-61705,y=38202..56469,z=-1055..14298
on x=25689..37701,y=65232..69607,z=24367..42672
on x=-42458..-32066,y=-75719..-65472,z=-29193..-3801
off x=-22..14837,y=-29209..635,z=-90363..-72543
on x=-74413..-47264,y=-54522..-28588,z=5937..39559
on x=21089..26076,y=37702..51056,z=-67095..-55472
off x=31742..58033,y=4590..25947,z=-76500..-60789
on x=-35852..-9119,y=-76205..-45203,z=-47687..-35294
off x=23217..41029,y=-3234..15105,z=68782..74072
on x=52058..89126,y=-50422..-30857,z=-8709..10826
off x=-51490..-42068,y=11308..31021,z=-73967..-44035
on x=-90713..-53955,y=3847..17459,z=-42841..-13064
off x=69346..89076,y=16046..26148,z=-31148..2070
on x=-91236..-71702,y=-9654..12433,z=1477..13198
on x=1331..28078,y=-69702..-40355,z=-64692..-43979
off x=50574..70337,y=-15383..-6575,z=41848..64343
on x=24149..54714,y=-29135..-3260,z=-82604..-46272
on x=61674..92804,y=-37425..-18188,z=-10269..9583
on x=29278..46289,y=59081..63620,z=29317..53729
off x=22296..41176,y=66892..90309,z=-27453..7399
off x=53038..58101,y=-58443..-50874,z=-10298..19080
off x=30371..49011,y=-39391..-24388,z=-68271..-62633
on x=-72143..-61407,y=32665..57053,z=-32273..464
off x=-47814..-25131,y=46029..74913,z=36938..62900
