name,miles,area,Jul/20,Aug/20,Sep/20,Oct/20,Nov/20,Dec/20,Jan/21,Feb/21,Mar/21,Apr/21,May/21,Jun/21,Jul/21,Aug/21,Sep/21,Oct/21,Nov/21,Dec/21,Jan/22,Feb/22,Mar/22,Apr/22,May/22,Jun/22,Jul/22,Aug/22
Palomar Park,4.0,SMC,,,,,,,91.1,,94.9,,,,,,98.1,,,,100.0,,,,,,,
Portola Valley,48.2,SMC,,,,,57.3,59.8,,,61.0,,66.2,66.4,67.4,70.3,72.0,,,,90.7,94.0,99.5,,,,,
Purisima Creek Preserve,16.5,SMC,,,,,,,,,,,,,,,,,,,,,,,,,35.7,
Redwood City,240.5,SMC,34.0,39.1,46.0,51.6,56.9,60.8,62.9,,65.1,,66.3,66.7,67.0,,75.0,77.9,,,83.1,,90.2,,,90.3,,90.8
Russian Ridge Preserve,12.2,SMC,,,,,,,,,,,,,,,,,,,,,,,21.8,,,
San Bruno,114.0,SMC,,,,,,,,,,25.4,,,,,25.5,,,,,,,27.1,,,,
San Carlos,99.0,SMC,22.2,26.0,32.9,,37.2,39.0,40.5,,41.4,,,41.7,,,,,,,,,,,,,59.5,78.7
San Mateo,256.0,SMC,11.1,,,,,,11.3,25.5,27.8,,,,,,,,,,,,,,,46.5,,50.6
San Mateo Highlands,18.0,SMC,,,,,,,18.0,29.2,,,,,,,,,,,,,,,,76.7,,
Sequoia Tract,11.0,SMC,,,,,72.8,82.3,92.5,,,,96.4,,97.5,98.2,99.4,,,,,,,,,,,
Sky Londa,11.8,SMC,,,,,72.1,,73.2,,,,75.4,75.5,,,,83.4,,,87.0,,99.2,,,,,
Skyline Ridge OSP,0.8,SMC,,,,,,,,,,,,,,,,91.5,,,,,93.5,,,,,
South San Francisco,185.3,SMC,,,,,,,,,,,,,,,,,,,,,,26.1,,26.4,,
West Menlo Park,11.2,SMC,,,,,97.5,98.1,,,,99.3,99.7,,100.0,,,,,,,,,,,,,
Windy Hill Preserve,4.1,SMC,,,,,,,,,,,,,,,,,,,,,,,99.1,,,
Woodside,75.2,SMC,51.9,,52.3,,,54.0,56.1,,,,62.2,65.8,81.8,84.3,85.5,,,,91.1,,94.1,96.6,,,,99.3
#
# Santa Clara County
#
Branham,44.0,SCC,,,,,,,,,,,,,26.5,27.9,,32.1,,,,,,,,,,
Campbell,119.0,SCC,8.9,10.1,12.4,,,,,25.2,26.5,,,,26.8,28.3,,,,,,,,,,,,
Communications Hill,27.8,SCC,,,,,,,,,,,,,34.1,,,37.2,,,,,,,,,,
Cupertino,172.0,SCC,22.1,23.9,26.2,,,26.3,26.4,,,,26.5,,,,29.5,29.7,,,,,,,,,,
Edenvale,30.0,SCC,,,,,,,,,,,,,47.35,,,47.0,,,,,,,,,,
Foothills Preserve,1.1,SCC,,,,,,,,,,,,,,,,,,,,,,,,80.7,,
Gardner,23.4,SCC,,,,,,,,,,,,,22.6,40.5,,43.9,,,,,,,,,,
Gilroy,188.9,SCC,7.9,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Coe State Park,265.9,SCC,,,,,,,,,,,,,,,,,,,,,,,,0.2,,
Los Altos,138.2,SCC,40.2,43.7,72.4,77.2,84.5,90.8,91.0,,91.1,,91.2,,,,90.63,90.9,,,91.3,91.4,91.5,,,,,
Los Altos Hills,91.3,SCC,48.4,,49.0,55.1,,55.4,55.8,,,,,,56.4,59.0,,62.1,62.5,,65.9,71.0,76.3,91.0,,,,91.1
Los Gatos,148.0,SCC,7.5,8.6,8.8,,,,,26.1,,,28.2,,,,,28.6,,,,,,29.1,,,,
Loyola,18.3,SCC,,,,,60.8,62.1,,,,,91.5,,91.3,,,,,,,,,92.1,98.7,,,99.5
Milpitas,224.0,SCC,2.2,,,,4.4,,,,,26.6,27.2,,,,,29.5,,,,,,,,,,
Monte Sereno,20.4,SCC,20.5,,,,,,,39.8,,,44.1,,,,,,,,,,,,,,,
Mountain View,208.1,SCC,53.0,59.9,63.0,63.6,72.9,77.1,91.1,,,,92.3,,,,,93.5,,,93.7,,,,92.9,,,
Palo Alto,297.2,SCC,63.0,73.6,85.4,85.7,87.1,87.6,88.1,,90.3,90.4,90.5,90.6,,90.7,,91.3,91.5,,93.0,,,,92.8,,,93.0
Parkview,42.5,SCC,,,,,,,,,,,,,30.32,,,32.1,,,,,,,,,,
San Jose,2618.7,SCC,1.3,1.36,5.3,,,,5.4,,,6.7,11.9,13.1,18.2,19.8,23.1,25.6,,,,,,,26.9,,,
Santa Clara,348.0,SCC,6.4,,9.6,,,,,,,26.6,,,,,28.8,29.4,,,,,,,,33.9,,
San Martin,35.3,SCC,15.7,,,,,,,,,,,,,,,,,,,,,,,,,
Saratoga,180.0,SCC,14.5,15.7,17.4,,,,,26.9,,,27.2,,,,,,,,,,,,,,,
Seven Trees,40.9,SCC,,,,,,,,,,,,,27.96,28.0,,,,,,,,,,,,
Spartan Keyes,64.3,SCC,,,,,,,22.1,,,,,,38.9,39.0,,35.8,,,,,,,,,,
Sunnyvale,357.0,SCC,19.4,19.9,22.2,,,,25.1,,,25.8,25.9,,,,,31.0,,,31.3,,,,,,46.6,
Willow Glen,81.6,SCC,,,,,,,13.9,,,,,,29.67,32.6,,34.9,,,,,,,,,,
Willow Glen South,63.3,SCC,,,,,,,,,,,,,22.3,30.6,,30.2,,,,,,,,,,
#
# Alameda County
#
Cherryland,20.9,AlC,,,,,,,,,,,,,,,,,26.8,,,,,,,,,
Fremont,780.2,AlC,9.0,,,10.0,,,11.7,,27.5,28.1,,,,,,,28.8,,,,,,,,,
Hayward,444.5,AlC,,,,,,,4.6,,,,5.1,,,,,,26.3,,,,,,,,,
Newark,147.0,AlC,15.0,,,17.0,,,18.7,26.8,30.8,,,,,,,,42.5,,,,,,,,,
San Leandro,230.6,AlC,,,,,,,,,,,,,,,,,,,,,,25.9,,,,
San Lorenzo,55.5,AlC,,,,,,,,,,,,,,,,,34.56,,,,,34.7,,,,
Union City,208.8,AlC,7.0,,,8.0,,,8.8,,25.7,,26.7,,,,,,,,,,,,,,,
#
# SF Neighborhoods
#
Presidio Terrace,2.8,sf,,,,,,,37.0,,,,,,,,43.7,,,,,,,,,,,
South Beach,4.8,sf,,,,,,,28.2,,,,39.6,,,,,,,,,,,,,,,
Golden Gate Park,40.8,sf,,,,,,,25.6,,,,,,,,37.8,,,,,,,,,,,
Lake Street,3.9,sf,,,,,,,,,,,,,,,36.8,,,,,,,,,,,
Lincoln Park,4.5,sf,,,,,,,43.0,,,,,,,,,,,,,,,,,,,
Seacliff,4.1,sf,,,,,,,23.1,,,,,,,,30.7,,,,,,,,,,,
Presidio National Park,43.5,sf,,,,,,,21.1,,,,24.4,,,,27.7,,,,,,,,,,,
Cole Valley,1.7,sf,,,,,,,19.6,,,,,,,,,,,,,,,,,,,
Polk Gulch,4.0,sf,,,,,,,18.2,,,,,,,,,,,,,,,,,,,
Balboa Terrace,3.4,sf,,,,,,,18.2,,,,,,,,,,,,,,,,,,,
Northern Waterfront,5.6,sf,,,,,,,,,,,16.4,,,,,,,,,,,,,,,
Forest Hill,6.1,sf,,,,,,,15.7,,,,,,,,,,,,,,,,,,,
Little Hollywood,3.7,sf,,,,,,,,,,,15.4,,,,,,,,,,,,,,,
Presidio Heights,6.5,sf,,,,,,,15.1,,,,,,,,,,,,,,,,,,,
Aquatic Park Fort Mason,6.4,sf,,,,,,,,,,,14.9,,,,,,,,,,,,,,,
Clarendon Heights,6.0,sf,,,,,,,14.3,,,,,,,,,,,,,,,,,,,
Fisherman's Wharf,6.2,sf,,,,,,,,,,,14.2,,,,,,,,,,,,,,,
Sutro Heights,7.1,sf,,,,,,,,,,,14.0,,,,,,,,,,,,,,,
Ashbury Heights,3.7,sf,,,,,,,12.9,,,,,,,,,,,,,,,,,,,
Dogpatch,5.1,sf,,,,,,,,,,,12.4,,,,,,,,,,,,,,,
Cow Hollow,12.0,sf,,,,,,,5.0,,,,12.0,,,,,,,,,,,,,,,
Pacific Heights,18.0,sf,,,,,,,10.8,,,,,,,,,,,,,,,,,,,
Golden Gate Heights,17.8,sf,,,,,,,10.7,,,,,,,,,,,,,,,,,,,
Financial District,9.4,sf,,,,,,,5.8,,,,9.7,,,,,,,,,,,,,,,
Mission Bay,13.8,sf,,,,,,,,,,,9.3,,,,,,,,,,,,,,,
Central Waterfront,10.2,sf,,,,,,,,,,,6.7,,,,,,,,,,,,,,,
#
# Far Away Places
#
Barangaroo; NSW,1.7,far,49.9,,,,,,,,,,,,,,,,,,,,,,,,,
Millers Point; NSW,3.2,far,38.2,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge; MA,180.8,far,6.4,,,,,,,,,,,,,,,,,,,,,,,,,
MIT; MA,9.6,far,37.2,,,,,,,,,,,,,,,,,,,,,,,,,
Muir Beach; Marin,4.6,far,35.8,,,,,,,,,,,,,,,,,,,,,,37.2,,,
Marin Headlands GGNRA,65.7,far,,,,,,,,,,,,,,,,,,,,,,,30.8,,,
Mt Tamalpais State Park,31.7,far,,,,,,,,,,,,,,,,,,,,,,,40.3,,,
Dawes Point; NSW,1.8,far,29.2,,,,,,,,,,,,,,,,,,,,,,,,,
Mokelumne Hill; Calaveras,14.7,far,28.9,,,,,,,,,,,,,,,,,,,,,,,,,
Guerneville; Sonoma,22.7,far,23.4,,,,,,,,,,,,,,,,,,,,,,,,,
Healdsburg; Sonoma,53.7,far,18.5,,,,,,,,,,,,,,,,,,,,,,,,,
Bodega Bay; Sonoma,28.9,far,18.0,,,,,,,,,,,,,,,,,,,,,,,,,
Sausalito; Marin,32.7,far,,,,,,,,,,,13.1,,,,,,,,,,,,,,,
Corte Madera; Marin,51.0,far,,,,,,,,,,,13.0,,,,,,,,,,,,,,,
Stinson Beach; Marin,11.2,far,9.2,,,,,,,,,,,,,,,,,,,,,,37.4,,,
Mill Valley; Marin,92.2,far,,,,,,,,,,,5.1,,,,,,,,,,,,,,,
San Rafael; Marin,260.0,far,,,,,,,,,,,3.7,,,,,,,,,,,,,,,
Emeryville,28.1,far,,,,,,,5.5,,,,7.0,,,,,,,,,,,,,,,
Berkeley,260.3,far,5.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,
Albany,42.7,far,,,,,,,,,,,6.6,,,,,,,,,,,,,,,
Rosie Riveter Park,5.5,far,,,,,,,,,,,29.3,,,,,,,,,,,,,,,
#
# Counties
#
San Mateo,2951.0,county,20.1,21.2,22.9,23.4,24.57,25.53,26.43,30.0,31.27,32.24,32.54,32.98,33.48,33.56,34.51,34.7,35.05,36.08,36.41,37.3,38.06,40.33,47.2,48.1,50.06,53.96
Santa Clara,7564.0,county,12.7,13.6,15.4,15.6,16.04,16.29,16.78,17.73,18.15,20.0,21.1,22.53,24.45,25.05,25.96,27.76,28.03,28.24,28.39,28.5,28.56,29.04,,,30.31,30.34
Alameda,5704.0,county,3.3,,,3.94,,,4.73,,7.06,7.14,7.34,,,,,,9.86,9.87,,,,10.96,,,,
Marin,2322.0,county,6.7,,,,,,,,,,7.98,,,,,,,,,,,,,,,
San Francisco,1197.0,county,4.5,,,,,,,,,,5.47,,,,6.4,6.51,,,,,,,,,,
Napa,1524.0,county,5.1,,,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,4556.0,county,5.1,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,2767.0,county,2.3,,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa,6034.0,county,1.0,,,,,,,,,1.41,,,,,,,,1.42,,,,,,,,
#
# Big Places
#
California,375216.0,big,0.712,0.811,0.846,0.867,0.8875,,0.9054,0.9624,1.0289,1.0758,1.1278,1.1386,1.1812,1.1939,1.2007,1.2524,1.2987,,1.3048,1.3106,1.3136,1.3565,1.3877,1.4023,1.4656,1.4968
USA,6406754.0,big,0.048,0.052,0.055,0.05589,0.0571,0.05749,0.05853,0.06183,0.06553,0.06824,0.07138,0.072,0.07446,0.0752,0.07665,0.07904,0.08173,0.08199,0.08252,0.083,0.08314,0.08565,0.087,0.089,0.09215,0.09399
Earth,40818989.0,big,0.008,0.0089,0.0091,0.00936,0.009535,0.009536,0.009597,0.010136,0.010561,0.010997,0.011349,0.011448,0.011839,0.011955,0.012024,0.0124113,0.012835,0.012886,0.013799,0.013855,0.013895,0.01429,0.01479,0.01482,0.014891,0.015172
